year,league,team,player_id,player_name_ja,player_name_en,G,IP,W,L,SV,ERA,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,WP,BK
1992,PL,大阪近鉄バファローズ,51153864,阿波野　秀幸,,19,93.2,6,6,0,38.0,408,93,0,95,,5,38,0,2,,,2,0,0.5,4,77
1992,PL,大阪近鉄バファローズ,35433868,赤堀　元之,,50,130.0,11,4,22,29.0,499,130,,91,,5,29,0,2,,,1,1,0.733,5,88
1992,PL,大阪近鉄バファローズ,11313881,入来　智,,15,53.1,4,3,1,41.0,245,53,0,66,,8,19,0,3,,,1,0,0.571,3,38
1992,PL,大阪近鉄バファローズ,31333885,江坂　政明,,23,65.1,4,1,0,35.0,286,65,0,74,,9,18,0,2,,,0,0,0.8,1,47
1992,PL,大阪近鉄バファローズ,31333869,小野　和義,,6,25.1,0,3,0,27.0,126,25,0,35,,6,17,0,0,,,0,0,0.0,1,9
1992,PL,大阪近鉄バファローズ,61363867,加藤　哲郎,,4,9.0,0,0,0,9.0,44,9,,14,,0,1,0,0,,,0,0,0.0,2,4
1992,PL,大阪近鉄バファローズ,11513869,清川　栄治,,36,44.0,2,2,5,18.0,172,44,,32,,7,10,0,1,,,0,0,0.5,0,49
1992,PL,大阪近鉄バファローズ,51453866,木下　文信,,4,6.2,0,1,0,4.0,29,6,0,6,,2,3,0,0,,,0,0,0.0,1,4
1992,PL,大阪近鉄バファローズ,81583860,佐々木　修,,19,63.2,1,1,0,29.0,278,63,0,81,,7,16,0,0,,,0,0,0.5,3,20
1992,PL,大阪近鉄バファローズ,51653883,佐野　重樹,,31,62.1,4,2,1,30.0,273,62,0,67,,6,24,0,2,,,0,0,0.667,4,44
1992,PL,大阪近鉄バファローズ,01703885,品田　操士,,2,4.2,0,0,0,17.0,36,4,0,14,,2,8,0,1,,,0,0,0.0,1,3
1992,PL,大阪近鉄バファローズ,71473866,高柳　出己,,24,139.2,8,8,0,65.0,587,139,0,142,,19,42,0,2,,,6,3,0.5,2,76
1992,PL,大阪近鉄バファローズ,91993885,高村　祐,,28,180.0,13,9,0,69.0,765,180,,156,,26,71,0,4,,,3,1,0.591,9,153
1992,PL,大阪近鉄バファローズ,21223881,野茂　英雄,,30,216.2,18,8,0,73.0,900,216,0,150,,13,117,0,4,,,17,5,0.692,1,228
1992,PL,大阪近鉄バファローズ,51253864,山崎　慎太郎,,29,54.0,2,2,2,24.0,241,54,,61,,4,25,0,2,,,0,0,0.5,3,46
1992,PL,大阪近鉄バファローズ,85283868,山田　真実,,2,6.1,0,0,0,4.0,28,6,0,7,,0,1,0,0,,,0,0,0.0,0,7
1992,PL,大阪近鉄バファローズ,51653860,吉井　理人,,9,11.2,1,0,0,3.0,45,11,0,10,,1,2,0,1,,,0,0,1.0,0,4
1992,PL,北海道日本ハムファイターズ,01103881,有倉　雅史,,17,48.0,1,1,0,30.0,213,48,,48,,2,23,0,0,,,0,0,0.5,1,24
1992,PL,北海道日本ハムファイターズ,41143867,石川　賢,,8,10.1,0,1,0,14.0,54,10,0,20,,4,3,0,1,,,0,0,0.0,0,5
1992,PL,北海道日本ハムファイターズ,51353881,内山　正博,,16,50.0,2,2,0,31.0,212,50,,53,,3,18,0,0,,,0,0,0.5,1,16
1992,PL,北海道日本ハムファイターズ,21323865,金石　昭人,,28,183.2,14,12,0,87.0,772,183,0,188,,16,47,0,10,,,13,1,0.538,8,98
1992,PL,北海道日本ハムファイターズ,41543860,河野　博文,,28,58.1,4,4,0,33.0,266,58,0,58,,9,37,0,6,,,0,0,0.5,1,41
1992,PL,北海道日本ハムファイターズ,41043883,小島　善博,,7,26.0,1,0,0,13.0,111,26,,24,,4,12,0,0,,,1,1,1.0,1,8
1992,PL,北海道日本ハムファイターズ,71773881,酒井　光次郎,,26,105.2,4,9,0,54.0,474,105,0,127,,16,40,1,3,,,2,0,0.308,2,95
1992,PL,北海道日本ハムファイターズ,51553848,柴田　保光,,26,191.0,6,12,0,72.0,786,191,,174,,20,46,0,1,,,10,1,0.333,5,123
1992,PL,北海道日本ハムファイターズ,91793868,芝草　宇宙,,10,32.0,0,1,0,12.0,134,32,,30,,2,12,0,2,,,0,0,0.0,2,16
1992,PL,北海道日本ハムファイターズ,11913868,白井　康勝,,43,87.2,9,3,10,39.0,386,87,0,87,,7,49,0,3,,,0,0,0.75,2,67
1992,PL,北海道日本ハムファイターズ,21723885,島崎　毅,,14,24.0,0,0,0,19.0,122,24,,36,,5,17,0,1,,,0,0,0.0,2,25
1992,PL,北海道日本ハムファイターズ,21023866,武田　一浩,,22,97.2,4,9,0,42.0,413,97,0,102,,10,29,0,2,,,3,1,0.308,1,63
1992,PL,北海道日本ハムファイターズ,51053860,西村　基史,,29,39.2,1,4,0,32.0,182,39,0,41,,4,25,0,0,,,0,0,0.2,1,29
1992,PL,北海道日本ハムファイターズ,11913864,西崎　幸広,,21,136.2,6,10,0,64.0,580,136,0,129,,10,54,0,1,,,9,2,0.375,2,107
1992,PL,北海道日本ハムファイターズ,91493860,松浦　宏明,,13,56.2,2,5,1,29.0,243,56,0,48,,6,28,0,1,,,2,0,0.286,0,35
1992,PL,北海道日本ハムファイターズ,61063883,南　竜次,,6,6.2,0,0,0,8.0,37,6,0,10,,1,6,0,0,,,0,0,0.0,1,3
1992,PL,埼玉西武ライオンズ,83883868,石井　丈裕,,27,148.1,15,3,3,34.0,563,148,0,103,,9,28,0,0,,,8,3,0.833,1,123
1992,PL,埼玉西武ライオンズ,01903883,内山　智之,,11,27.0,0,1,0,11.0,110,27,,22,,4,11,0,1,,,0,0,0.0,0,14
1992,PL,埼玉西武ライオンズ,11313869,小田　真也,,10,8.0,0,0,1,2.0,31,8,,5,,1,2,0,0,,,0,0,0.0,0,5
1992,PL,埼玉西武ライオンズ,71373848,鹿取　義隆,,38,76.2,10,1,16,21.0,302,76,0,56,,4,20,0,2,,,0,0,0.909,3,41
1992,PL,埼玉西武ライオンズ,21323860,郭　泰源,,23,168.0,14,4,0,54.0,661,168,,128,,17,44,1,1,,,9,3,0.778,4,108
1992,PL,埼玉西武ライオンズ,61563881,北原　泰二,,3,2.1,0,0,0,4.0,12,2,0,2,,0,3,0,0,,,0,0,0.0,0,1
1992,PL,埼玉西武ライオンズ,51553865,工藤　公康,,25,150.2,11,5,0,60.0,645,150,0,140,,17,69,0,4,,,6,3,0.688,3,133
1992,PL,埼玉西武ライオンズ,95593868,呉　俊宏,,7,15.1,0,0,0,12.0,76,15,0,21,,2,7,0,2,,,0,0,0.0,1,9
1992,PL,埼玉西武ライオンズ,71973881,潮崎　哲也,,47,107.0,6,2,10,41.0,430,107,,89,,8,26,0,1,,,0,0,0.75,4,95
1992,PL,埼玉西武ライオンズ,41743885,新谷　博,,28,108.2,4,8,2,43.0,453,108,0,94,,10,30,0,4,,,2,0,0.333,2,108
1992,PL,埼玉西武ライオンズ,61963881,鈴木　哲,,4,11.1,0,2,0,18.0,63,11,0,20,,3,6,0,1,,,0,0,0.0,1,11
1992,PL,埼玉西武ライオンズ,21923885,竹下　潤,,5,9.2,1,0,0,11.0,53,9,0,12,,4,12,0,1,,,0,0,1.0,1,3
1992,PL,埼玉西武ライオンズ,71973866,原口　哲也,,4,11.1,0,1,0,11.0,55,11,0,14,,2,8,0,0,,,0,0,0.0,0,7
1992,PL,埼玉西武ライオンズ,01203869,前田　耕司,,1,0.2,0,0,0,0.0,5,0,0,0,,0,3,0,0,,,0,0,0.0,0,0
1992,PL,埼玉西武ライオンズ,81783866,松原　靖,,5,4.0,0,0,0,3.0,20,4,,5,,1,4,0,0,,,0,0,0.0,0,4
1992,PL,埼玉西武ライオンズ,81083864,森山　良二,,6,10.2,0,1,0,9.0,52,10,0,14,,5,5,0,2,,,0,0,0.0,1,6
1992,PL,埼玉西武ライオンズ,35133868,山本　勝則,,3,5.2,0,0,0,8.0,32,5,0,9,,2,7,0,1,,,0,0,0.0,1,5
1992,PL,埼玉西武ライオンズ,91993883,Ｒ．ヤング,,3,10.0,0,1,0,9.0,52,10,,11,,0,12,0,2,,,0,0,0.0,0,6
1992,PL,埼玉西武ライオンズ,01203864,横田　久則,,4,10.1,0,1,0,7.0,44,10,0,11,,1,3,0,0,,,0,0,0.0,0,6
1992,PL,埼玉西武ライオンズ,51453869,渡辺　久信,,28,179.1,12,12,0,83.0,777,179,0,164,,17,84,0,8,,,8,2,0.5,4,141
1992,PL,埼玉西武ライオンズ,15113868,渡辺　智男,,20,85.0,7,5,0,54.0,397,85,,81,,8,61,0,5,,,1,0,0.583,8,58
