year,league,team,player_id,player_name_ja,player_name_en,G,IP,W,L,SV,ERA,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,WP,BK
2021,CL,阪神タイガース,,アルカンタラ,,24,59.1,3,3,0,3.49,243,55,6,14,1,0,48,23,25,6,7,0,0,0.5,3,0
2021,CL,阪神タイガース,,青柳 晃洋,,25,156.1,13,6,0,2.48,651,143,11,48,8,3,104,43,48,0,0,0,0,0.684,0,0
2021,CL,阪神タイガース,,秋山 拓巳,,24,132.2,10,7,0,2.71,539,121,18,25,3,3,107,40,43,0,0,1,0,0.588,2,0
2021,CL,阪神タイガース,,石井 大智,,18,17.1,0,1,0,6.23,75,17,3,6,1,0,16,12,12,0,0,0,0,0.0,1,0
2021,CL,阪神タイガース,,伊藤 将司,,23,140.1,10,7,0,2.44,557,119,15,34,3,3,79,38,42,1,1,1,0,0.588,1,0
2021,CL,阪神タイガース,,岩崎 優,,62,57.2,3,4,1,2.65,230,47,6,15,2,0,51,17,21,41,44,0,0,0.429,3,0
2021,CL,阪神タイガース,,岩貞 祐太,,46,38.2,4,0,0,4.66,174,42,4,14,2,3,33,20,21,12,16,0,0,1.0,1,0
2021,CL,阪神タイガース,,岩田 稔,,3,3.0,0,0,0,0.0,13,3,0,0,0,1,3,0,0,0,0,0,0,0.0,1,0
2021,CL,阪神タイガース,,エドワーズ,,7,7.0,0,0,0,2.57,31,6,1,4,0,0,7,2,3,0,0,0,0,0.0,0,0
2021,CL,阪神タイガース,,小川 一平,,19,21.1,1,0,0,2.95,83,15,2,7,0,0,19,7,7,2,3,0,0,1.0,0,0
2021,CL,阪神タイガース,,小野 泰己,,12,14.2,0,0,0,7.98,71,17,1,8,0,1,14,13,13,0,0,0,0,0.0,0,0
2021,CL,阪神タイガース,,及川 雅貴,,39,39.0,2,3,0,3.69,169,31,4,24,4,2,38,16,18,10,12,0,0,0.4,4,0
2021,CL,阪神タイガース,,ガンケル,,20,113.0,9,3,0,2.95,465,99,10,24,1,3,87,37,39,0,0,0,0,0.75,0,0
