year,league,team,player_id,player_name_ja,player_name_en,G,IP,W,L,SV,ERA,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,WP,BK
1988,CL,読売ジャイアンツ,91393860,岡本　光,,6,5.1,0,0,0,3.0,27,5,0,7,,0,4,0,0,,,0,0,0.0,0,5
1988,CL,読売ジャイアンツ,31333845,加藤　初,,14,55.1,2,4,0,24.0,225,55,0,43,,8,24,0,1,,,0,0,0.333,1,16
1988,CL,読売ジャイアンツ,71373848,鹿取　義隆,,45,64.2,8,4,17,25.0,271,64,0,63,,10,12,0,1,,,0,0,0.667,2,40
1988,CL,読売ジャイアンツ,51353864,加茂川　重治,,5,8.0,0,0,0,7.0,37,8,,11,,0,1,0,0,,,0,0,0.0,0,6
1988,CL,読売ジャイアンツ,91793866,Ｂ．ガリクソン,,26,203.1,14,9,0,77.0,818,203,0,173,,17,45,1,6,,,14,3,0.609,6,134
1988,CL,読売ジャイアンツ,11513862,桑田　真澄,,27,198.1,10,11,0,80.0,806,198,0,174,,19,53,0,4,,,5,1,0.476,5,139
1988,CL,読売ジャイアンツ,61563860,香田　勲男,,27,93.2,4,3,1,28.0,371,93,0,73,,5,24,0,1,,,2,1,0.571,0,76
1988,CL,読売ジャイアンツ,81583869,斎藤　雅樹,,38,66.2,6,3,3,14.0,254,66,0,45,,6,17,0,2,,,0,0,0.667,1,55
1988,CL,読売ジャイアンツ,91593846,角　三男,,25,13.1,0,1,0,7.0,63,13,0,16,,1,7,0,0,,,0,0,0.0,0,10
1988,CL,読売ジャイアンツ,91793842,西本　聖,,15,64.2,4,3,0,30.0,261,64,0,60,,3,12,0,0,,,1,0,0.571,2,35
1988,CL,読売ジャイアンツ,01903864,広田　浩章,,33,45.2,2,1,1,24.0,202,45,0,52,,4,20,0,4,,,0,0,0.667,2,47
1988,CL,読売ジャイアンツ,31433867,槙原　寛己,,27,208.2,10,13,0,63.0,843,208,0,170,,11,43,0,6,,,11,4,0.435,7,187
1988,CL,読売ジャイアンツ,61763866,益田　明典,,2,0.1,0,0,0,1.0,3,0,0,0,,0,2,0,0,,,0,0,0.0,0,0
