year,league,team,player_id,player_name_ja,player_name_en,G,IP,W,L,SV,ERA,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,WP,BK
1994,PL,大阪近鉄バファローズ,51153864,阿波野　秀幸,,6,10.1,0,2,0,14.0,58,10,0,22,,2,6,0,1,,,0,0,0.0,0,9
1994,PL,大阪近鉄バファローズ,35433868,赤堀　元之,,45,94.0,9,4,24,20.0,369,94,,66,,5,24,0,2,,,0,0,0.692,2,73
1994,PL,大阪近鉄バファローズ,11413889,Ｋ．アボット,,4,11.2,0,0,0,11.0,65,11,0,25,,0,9,0,0,,,0,0,0.0,0,8
1994,PL,大阪近鉄バファローズ,91193864,池上　誠一,,25,54.1,4,1,0,17.0,215,54,0,38,,3,12,0,1,,,0,0,0.8,2,45
1994,PL,大阪近鉄バファローズ,11313881,入来　智,,44,107.0,4,6,1,56.0,468,107,,128,,12,34,0,0,,,0,0,0.4,2,67
1994,PL,大阪近鉄バファローズ,31333885,江坂　政明,,15,49.1,1,5,0,44.0,239,49,0,75,,11,21,0,3,,,1,0,0.167,2,27
1994,PL,大阪近鉄バファローズ,11513869,清川　栄治,,37,18.1,0,0,0,6.0,77,18,0,13,,1,10,0,1,,,0,0,0.0,1,16
1994,PL,大阪近鉄バファローズ,51453866,木下　文信,,36,43.0,0,0,0,20.0,183,43,,35,,3,28,0,1,,,0,0,0.0,2,30
1994,PL,大阪近鉄バファローズ,71573887,小池　秀郎,,19,71.1,5,2,0,44.0,318,71,0,76,,13,33,0,5,,,0,0,0.714,0,46
1994,PL,大阪近鉄バファローズ,81583860,佐々木　修,,2,4.1,0,0,0,4.0,22,4,0,6,,0,2,0,0,,,0,0,0.0,0,1
1994,PL,大阪近鉄バファローズ,51653883,佐野　重樹,,47,93.1,8,4,2,39.0,384,93,0,95,,6,22,0,1,,,0,0,0.667,1,51
1994,PL,大阪近鉄バファローズ,01503889,酒井　弘樹,,18,43.0,1,0,0,33.0,203,43,,62,,7,23,0,2,,,0,0,1.0,0,36
1994,PL,大阪近鉄バファローズ,01703885,品田　操士,,15,31.1,0,0,0,16.0,133,31,0,35,,3,12,0,1,,,0,0,0.0,1,27
1994,PL,大阪近鉄バファローズ,91993885,高村　祐,,24,125.2,9,10,0,74.0,551,125,0,142,,9,36,0,2,,,4,2,0.474,3,130
1994,PL,大阪近鉄バファローズ,11913889,西川　慎一,,3,4.1,0,1,0,5.0,21,4,0,6,,0,2,0,0,,,0,0,0.0,0,0
1994,PL,大阪近鉄バファローズ,21223881,野茂　英雄,,17,114.0,8,7,0,55.0,512,114,,96,,9,86,0,7,,,6,0,0.533,2,126
1994,PL,大阪近鉄バファローズ,51253864,山崎　慎太郎,,27,179.2,12,10,0,87.0,772,179,0,182,,13,65,0,3,,,10,3,0.545,2,85
1994,PL,大阪近鉄バファローズ,21623883,谷内　聖樹,,5,6.0,0,0,0,5.0,32,6,,6,,1,8,0,0,,,0,0,0.0,0,4
1994,PL,大阪近鉄バファローズ,51653860,吉井　理人,,21,97.0,7,7,0,69.0,436,97,,118,,16,37,0,4,,,2,0,0.5,1,42
1994,PL,北海道日本ハムファイターズ,63963868,足立　亘,,4,10.0,0,1,0,9.0,51,10,,12,,0,6,0,2,,,0,0,0.0,3,6
1994,PL,北海道日本ハムファイターズ,01103881,有倉　雅史,,12,30.1,0,1,0,17.0,125,30,0,30,,3,7,0,0,,,0,0,0.0,0,15
1994,PL,北海道日本ハムファイターズ,31333881,岩本　勉,,9,21.0,0,2,0,14.0,95,21,,26,,1,6,0,1,,,0,0,0.0,1,10
1994,PL,北海道日本ハムファイターズ,61163887,今関　勝,,19,62.1,1,3,0,36.0,268,62,0,50,,10,34,0,3,,,1,0,0.25,1,65
1994,PL,北海道日本ハムファイターズ,51353881,内山　正博,,24,19.1,0,0,0,8.0,91,19,0,27,,3,6,0,0,,,0,0,0.0,0,8
1994,PL,北海道日本ハムファイターズ,21323865,金石　昭人,,37,86.0,6,3,18,24.0,363,86,,93,,2,24,0,5,,,0,0,0.667,4,34
1994,PL,北海道日本ハムファイターズ,01603889,Ｋ．グロス,,25,149.0,6,12,0,74.0,641,149,,169,,14,56,1,11,,,7,0,0.333,2,62
1994,PL,北海道日本ハムファイターズ,41543860,河野　博文,,33,143.0,8,10,0,67.0,626,143,,148,,20,66,0,3,,,3,1,0.444,2,94
1994,PL,北海道日本ハムファイターズ,41043883,小島　善博,,4,6.1,0,1,0,9.0,31,6,0,10,,4,3,0,0,,,0,0,0.0,0,6
1994,PL,北海道日本ハムファイターズ,71773881,酒井　光次郎,,41,30.1,1,0,0,23.0,154,30,0,55,,3,13,0,5,,,0,0,1.0,1,21
1994,PL,北海道日本ハムファイターズ,91793868,芝草　宇宙,,34,89.2,4,5,1,41.0,376,89,0,94,,14,24,0,4,,,0,0,0.444,3,50
1994,PL,北海道日本ハムファイターズ,11913868,白井　康勝,,20,72.2,1,7,0,47.0,323,72,0,77,,12,32,0,0,,,0,0,0.125,0,46
1994,PL,北海道日本ハムファイターズ,31733889,関根　裕之,,19,57.2,3,4,0,33.0,251,57,0,59,,9,27,0,5,,,1,0,0.429,1,72
1994,PL,北海道日本ハムファイターズ,21023866,武田　一浩,,18,84.1,5,9,0,63.0,390,84,0,102,,8,37,0,4,,,2,0,0.357,4,56
1994,PL,北海道日本ハムファイターズ,51053860,西村　基史,,1,5.2,1,0,0,0.0,19,5,0,1,,0,1,0,0,,,0,0,1.0,0,3
1994,PL,北海道日本ハムファイターズ,11913864,西崎　幸広,,25,181.0,8,14,0,87.0,789,181,,202,,24,64,0,8,,,12,2,0.364,2,151
1994,PL,北海道日本ハムファイターズ,91493860,松浦　宏明,,28,69.2,2,7,0,58.0,335,69,0,88,,11,40,0,8,,,1,0,0.222,5,40
1994,PL,北海道日本ハムファイターズ,71273887,松田　慎司,,26,30.2,0,0,0,24.0,144,30,0,40,,5,15,0,2,,,0,0,0.0,1,14
1994,PL,北海道日本ハムファイターズ,61063883,南　竜次,,2,2.0,0,0,0,3.0,12,2,,3,,2,4,0,0,,,0,0,0.0,0,2
1994,PL,埼玉西武ライオンズ,83883868,石井　丈裕,,27,118.2,6,6,4,49.0,482,118,0,106,,10,30,0,1,,,4,1,0.5,2,70
1994,PL,埼玉西武ライオンズ,31133889,石井　貴,,3,6.2,0,0,0,13.0,35,6,0,14,,1,5,0,0,,,0,0,0.0,0,2
1994,PL,埼玉西武ライオンズ,31333869,小野　和義,,28,102.0,7,5,0,53.0,447,102,,99,,15,47,0,5,,,3,1,0.583,2,73
1994,PL,埼玉西武ライオンズ,71373848,鹿取　義隆,,40,76.2,7,3,5,29.0,305,76,0,66,,4,18,0,0,,,0,0,0.7,8,53
1994,PL,埼玉西武ライオンズ,21323860,郭　泰源,,27,130.0,13,5,0,75.0,569,130,,137,,23,52,0,1,,,4,2,0.722,3,86
1994,PL,埼玉西武ライオンズ,51553865,工藤　公康,,24,130.2,11,7,0,54.0,554,130,0,120,,12,44,1,2,,,4,1,0.611,3,124
1994,PL,埼玉西武ライオンズ,71973881,潮崎　哲也,,50,75.1,4,2,1,20.0,309,75,0,65,,5,26,0,2,,,0,0,0.667,5,56
1994,PL,埼玉西武ライオンズ,41743885,新谷　博,,41,130.0,10,8,9,47.0,517,130,,97,,15,35,0,3,,,3,2,0.556,5,99
1994,PL,埼玉西武ライオンズ,11713889,白鳥　浩徳,,7,17.0,0,0,0,8.0,78,17,,17,,1,9,0,0,,,0,0,0.0,2,9
1994,PL,埼玉西武ライオンズ,91793887,杉山　賢人,,54,60.2,4,2,6,24.0,246,60,0,54,,7,13,0,0,,,0,0,0.667,4,63
1994,PL,埼玉西武ライオンズ,21923885,竹下　潤,,3,4.2,0,0,0,4.0,21,4,0,7,,2,3,0,0,,,0,0,0.0,0,2
1994,PL,埼玉西武ライオンズ,41243881,橋本　武広,,22,34.2,0,0,1,11.0,137,34,0,26,,3,12,0,1,,,0,0,0.0,1,39
1994,PL,埼玉西武ライオンズ,51253869,藤本　修二,,4,5.2,1,0,0,0.0,26,5,0,8,,0,2,0,0,,,0,0,1.0,0,5
1994,PL,埼玉西武ライオンズ,11213887,前田　勝宏,,11,20.0,0,1,0,9.0,100,20,,25,,2,17,0,1,,,0,0,0.0,0,21
1994,PL,埼玉西武ライオンズ,31233866,村田　勝喜,,25,101.1,4,5,0,60.0,476,101,0,104,,9,69,0,3,,,3,1,0.444,4,82
1994,PL,埼玉西武ライオンズ,51453869,渡辺　久信,,25,146.1,9,8,0,79.0,653,146,0,149,,16,73,0,14,,,4,0,0.529,5,97
1994,PL,福岡ソフトバンクホークス,31433883,足利　豊,,13,37.0,2,2,0,16.0,158,37,,38,,5,11,0,0,,,0,0,0.5,0,22
1994,PL,福岡ソフトバンクホークス,01103863,井上　祐二,,8,13.1,0,0,0,16.0,66,13,0,22,,2,5,0,0,,,0,0,0.0,0,10
1994,PL,福岡ソフトバンクホークス,61163869,池田　親興,,4,3.0,0,0,0,8.0,18,3,,8,,2,1,0,0,,,0,0,0.0,0,2
1994,PL,福岡ソフトバンクホークス,01903883,内山　智之,,24,112.0,6,11,0,74.0,499,112,,141,,10,31,0,7,,,3,0,0.353,4,64
1994,PL,福岡ソフトバンクホークス,31333887,大越　基,,13,27.1,0,0,0,17.0,128,27,0,37,,0,12,0,2,,,0,0,0.0,1,15
1994,PL,福岡ソフトバンクホークス,71373869,加藤　伸一,,17,80.1,3,5,0,44.0,346,80,0,88,,6,25,0,1,,,1,0,0.375,4,32
1994,PL,福岡ソフトバンクホークス,61263883,木村　恵二,,46,77.1,5,1,2,21.0,313,77,0,71,,6,14,0,3,,,0,0,0.833,1,78
1994,PL,福岡ソフトバンクホークス,91593862,斉藤　学,,3,7.0,0,0,0,4.0,31,7,,9,,1,0,0,0,,,0,0,0.0,0,5
1994,PL,福岡ソフトバンクホークス,81283883,下柳　剛,,62,105.2,11,5,4,54.0,473,105,0,111,,5,53,0,7,,,0,0,0.688,2,89
1994,PL,福岡ソフトバンクホークス,21623889,Ｂ．シグペン,,33,37.1,2,2,12,8.0,146,37,0,30,,2,6,0,0,,,0,0,0.5,1,21
1994,PL,福岡ソフトバンクホークス,91793869,髙野　光,,2,7.0,0,1,0,4.0,32,7,,4,,0,6,0,1,,,0,0,0.0,0,5
1994,PL,福岡ソフトバンクホークス,81583864,高木　晃次,,1,1.0,0,0,0,0.0,5,1,,0,,0,2,0,0,,,0,0,0.0,0,1
1994,PL,福岡ソフトバンクホークス,61963885,田畑　一也,,16,31.1,0,1,0,22.0,144,31,0,39,,5,9,0,3,,,0,0,0.0,2,30
1994,PL,福岡ソフトバンクホークス,91093887,濱涯　泰司,,3,2.1,0,0,0,6.0,16,2,0,4,,2,5,0,0,,,0,0,0.0,0,5
1994,PL,福岡ソフトバンクホークス,41043865,矢野　未乗,,21,24.1,2,0,3,12.0,107,24,0,26,,2,7,0,0,,,0,0,1.0,0,10
