season_key,base_year,split_type,team,player_id,player_name_ja,player_name_en,G,PA,AB,H,1B,2B,3B,HR,TB,R,RBI,BB,SO,HBP,SH,SF,SB,CS,GDP,AVG,OBP,SLG,OPS,打率,安打,本塁打,打点,試合,打席,打数,単打,二塁打,三塁打,得点,出塁率,長打率,四球,敬遠,死球,三振,塁打,盗塁,盗塁死,犠打,犠飛,併殺打,IsoP,IsoD,BB%,K%,BB/K,RC,XR,BABIP,SecA,TA,NOI,GPA
1936A,1936,fall,巨　人,51153872,青柴　憲一1936年 公式戦初出場,,5,9,8,2,2,0,0,0,2,1,0,1,2,0,0,0.0,0,,,0.25,0.333,0.25,0.583,0.25,2,0,0,5,9,8,2,0,0,1,0.333,0.25,1,,0,,2,0,,0,0.0,,0.0,0.08300000000000002,11.11111111111111,22.22222222222222,0.5,0.6666666666666666,0.742,0.3333333333333333,0.125,0.5,416.3333333333333,0.21235
1936A,1936,fall,巨　人,61163872,伊藤　健太郎1936年 公式戦初出場,,27,114,95,18,8,5,4,1,34,9,12,19,14,0,0,0.0,5,,,0.189,0.325,0.358,0.683,0.189,18,1,12,27,114,95,8,5,4,9,0.325,0.358,19,,0,,34,5,,0,0.0,,0.16899999999999998,0.136,16.666666666666664,12.280701754385964,1.3571428571428572,11.035087719298245,12.823999999999998,0.2125,0.42105263157894735,0.7532467532467533,444.33333333333337,0.23575000000000002
1936A,1936,fall,巨　人,41343872,内堀　保1936年 公式戦初出場,,10,24,22,2,1,1,0,0,3,3,2,2,4,0,0,0.0,1,,,0.091,0.167,0.136,0.30300000000000005,0.091,2,0,2,10,24,22,1,1,0,3,0.167,0.136,2,,0,,3,1,,0,0.0,,0.04500000000000001,0.07600000000000001,8.333333333333332,16.666666666666664,0.5,0.5,0.10000000000000009,0.1111111111111111,0.18181818181818182,0.3,212.33333333333334,0.10915000000000001
1936A,1936,fall,巨　人,11913872,倉　信雄1936年 公式戦初出場,,2,4,3,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0,,,0.0,0.25,0.0,0.25,0.0,0,0,0,2,4,3,0,0,0,0,0.25,0.0,1,,0,,0,0,,0,0.0,,0.0,0.25,25.0,25.0,1.0,0.0,0.035999999999999976,0.0,0.3333333333333333,0.3333333333333333,250.0,0.1125
1936A,1936,fall,巨　人,21023872,沢村　栄治1936年 公式戦初出場,,15,49,43,7,5,2,0,0,9,3,2,3,6,0,3,0.0,0,,,0.163,0.217,0.209,0.426,0.163,7,0,2,15,49,43,5,2,0,3,0.217,0.209,3,,0,,9,0,,3,0.0,,0.045999999999999985,0.05399999999999999,6.122448979591836,12.244897959183673,0.5,1.9565217391304348,1.4019999999999997,0.1891891891891892,0.11627906976744186,0.3333333333333333,286.6666666666667,0.1499
1936A,1936,fall,巨　人,31233872,白石　敏男1936年 公式戦初出場,,27,123,103,22,19,2,1,0,26,12,9,15,14,0,5,0.0,3,,,0.214,0.314,0.252,0.5660000000000001,0.214,22,0,9,27,123,103,19,2,1,12,0.314,0.252,15,,0,,26,3,,5,0.0,,0.038000000000000006,0.1,12.195121951219512,11.38211382113821,1.0714285714285714,8.152542372881356,9.531999999999998,0.24719101123595505,0.21359223300970873,0.5432098765432098,398.0,0.2043
1936A,1936,fall,巨　人,51253872,スタルヒン1936年 公式戦初出場,,3,7,7,1,1,0,0,0,1,0,0,0,0,0,0,0.0,0,,,0.143,0.143,0.143,0.286,0.143,1,0,0,3,7,7,1,0,0,0,0.143,0.143,0,,0,,1,0,,0,0.0,,0.0,0.0,0.0,0.0,nan,0.14285714285714285,-0.08800000000000008,0.14285714285714285,0.0,0.16666666666666666,190.66666666666666,0.1001
1936A,1936,fall,巨　人,51453872,津田　四郎1936年 公式戦初出場,,12,22,19,2,2,0,0,0,2,0,3,3,5,0,0,0.0,2,,,0.105,0.227,0.105,0.332,0.105,2,0,3,12,22,19,2,0,0,0,0.227,0.105,3,,0,,2,2,,0,0.0,,0.0,0.12200000000000001,13.636363636363635,22.727272727272727,0.6,0.45454545454545453,0.6839999999999999,0.14285714285714285,0.2631578947368421,0.4117647058823529,262.0,0.12840000000000001
1936A,1936,fall,巨　人,71473872,筒井　修1936年 公式戦初出場,,24,99,79,17,9,5,3,0,28,16,5,19,15,0,1,0.0,7,,,0.215,0.367,0.354,0.721,0.215,17,0,5,24,99,79,9,5,3,16,0.367,0.354,19,,0,,28,7,,1,0.0,,0.13899999999999998,0.152,19.19191919191919,15.151515151515152,1.2666666666666666,10.285714285714286,12.674,0.265625,0.46835443037974683,0.8709677419354839,485.0,0.25365
1936A,1936,fall,巨　人,11613872,中島　治康1936年 公式戦初出場,,19,78,70,18,11,5,2,0,27,11,8,6,6,1,1,0.0,6,,,0.257,0.325,0.386,0.7110000000000001,0.257,18,0,8,19,78,70,11,5,2,11,0.325,0.386,6,,1,,27,6,,1,0.0,,0.129,0.068,7.6923076923076925,7.6923076923076925,1.0,8.526315789473685,9.474,0.28125,0.3,0.7692307692307693,453.6666666666667,0.24275000000000002
