season_key,base_year,split_type,team,player_id,player_name_ja,player_name_en,G,PA,AB,H,1B,2B,3B,HR,TB,R,RBI,BB,SO,HBP,SH,SF,SB,CS,GDP,AVG,OBP,SLG,OPS,打率,安打,本塁打,打点,試合,打席,打数,単打,二塁打,三塁打,得点,出塁率,長打率,四球,敬遠,死球,三振,塁打,盗塁,盗塁死,犠打,犠飛,併殺打,IsoP,IsoD,BB%,K%,BB/K,RC,XR,BABIP,SecA,TA,NOI,GPA
1936S,1936,spring,巨　人,51153872,青柴　憲一1936年 公式戦初出場,,2,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0,,,0.0,0.5,0.0,0.5,0.0,0,0,0,2,2,1,0,0,0,0,0.5,0.0,1,,0,,0,0,,0,0.0,,0.0,0.5,50.0,50.0,1.0,0.0,0.232,nan,1.0,1.0,500.0,0.225
1936S,1936,spring,巨　人,61163872,伊藤　健太郎1936年 公式戦初出場,,7,33,26,6,3,2,1,0,10,4,5,7,5,0,0,0.0,2,,,0.231,0.394,0.385,0.779,0.231,6,0,5,7,33,26,3,2,1,4,0.394,0.385,7,,0,,10,2,,0,0.0,,0.154,0.163,21.21212121212121,15.151515151515152,1.4,3.9393939393939394,4.69,0.2857142857142857,0.5,0.95,522.3333333333334,0.27355
1936S,1936,spring,巨　人,41343872,内堀　保1936年 公式戦初出場,,2,4,4,1,1,0,0,0,1,0,1,0,2,0,0,0.0,1,,,0.25,0.25,0.25,0.5,0.25,1,0,1,2,4,4,1,0,0,0,0.25,0.25,0,,0,,1,1,,0,0.0,,0.0,0.0,0.0,50.0,0.0,0.25,0.3859999999999999,0.5,0.25,0.6666666666666666,333.3333333333333,0.175
1936S,1936,spring,巨　人,11913872,倉　信雄1936年 公式戦初出場,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,1,0,0,0,0,0.0,0.0,0,,0,,0,0,,0,0.0,,0.0,0.0,0.0,0.0,nan,0.0,-0.098,0.0,0.0,0.0,0.0,0.0
1936S,1936,spring,巨　人,21023872,沢村　栄治1936年 公式戦初出場,,4,6,5,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0,,,0.0,0.167,0.0,0.167,0.0,0,0,1,4,6,5,0,0,0,0,0.167,0.0,1,,0,,0,0,,0,0.0,,0.0,0.167,16.666666666666664,16.666666666666664,1.0,0.0,-0.15999999999999998,0.0,0.2,0.2,167.0,0.07515000000000001
1936S,1936,spring,巨　人,31233872,白石　敏男1936年 公式戦初出場,,7,28,24,5,5,0,0,0,5,3,0,3,3,0,1,0.0,0,,,0.208,0.296,0.208,0.504,0.208,5,0,0,7,28,24,5,0,0,3,0.296,0.208,3,,0,,5,0,,1,0.0,,0.0,0.088,10.714285714285714,10.714285714285714,1.0,1.4814814814814814,1.6280000000000001,0.23809523809523808,0.125,0.42105263157894735,365.3333333333333,0.18519999999999998
1936S,1936,spring,巨　人,51253872,スタルヒン1936年 公式戦初出場,,1,1,1,1,0,1,0,0,2,0,0,0,0,0,0,0.0,0,,,1.0,1.0,2.0,3.0,1.0,1,0,0,1,1,1,0,1,0,0,1.0,2.0,0,,0,,2,0,,0,0.0,,1.0,0.0,0.0,0.0,nan,2.0,0.72,1.0,1.0,nan,1666.6666666666665,0.95
1936S,1936,spring,巨　人,51453872,津田　四郎1936年 公式戦初出場,,4,7,7,1,1,0,0,0,1,1,0,0,4,0,0,0.0,0,,,0.143,0.143,0.143,0.286,0.143,1,0,0,4,7,7,1,0,0,1,0.143,0.143,0,,0,,1,0,,0,0.0,,0.0,0.0,0.0,57.14285714285714,0.0,0.14285714285714285,-0.08800000000000008,0.3333333333333333,0.0,0.16666666666666666,190.66666666666666,0.1001
1936S,1936,spring,巨　人,71473872,筒井　修1936年 公式戦初出場,,7,29,23,5,4,1,0,0,6,2,3,5,5,1,0,0.0,1,,,0.217,0.379,0.261,0.64,0.217,5,0,3,7,29,23,4,1,0,2,0.379,0.261,5,,1,,6,1,,0,0.0,,0.04400000000000001,0.162,17.24137931034483,17.24137931034483,1.0,2.142857142857143,3.1159999999999988,0.2777777777777778,0.30434782608695654,0.7222222222222222,466.0,0.2358
1936S,1936,spring,巨　人,11613872,中島　治康1936年 公式戦初出場,,7,32,31,9,5,3,0,1,15,6,6,1,1,0,0,0.0,3,,,0.29,0.312,0.484,0.796,0.29,9,1,6,7,32,31,5,3,0,6,0.312,0.484,1,,0,,15,3,,0,0.0,,0.194,0.02200000000000002,3.125,3.125,1.0,4.6875,4.814,0.27586206896551724,0.3225806451612903,0.8636363636363636,473.3333333333333,0.26139999999999997
