year,league,team,player_id,player_name_ja,player_name_en,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,OBP,SLG,OPS,1B,IsoP,IsoD,IOPS,BB%,K%,BB/K,BABIP,GPA,NOI,SecA,TA,player_name,raw_team_name,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率,単打,敬遠,K,盗塁死,GIDP,RC,XR
1937,PRE,大東京軍,1803872,ハリス,,49.0,222.0,200.0,34.0,62.0,17.0,2.0,1.0,86.0,24.0,0.0,0.0,3.0,0.0,18.0,0.0,1.0,7.0,0.0,0.31,0.37,0.43,0.8,42.0,0.12,0.06,0.49,8.108108108108109,3.153153153153153,2.5714285714285716,0.3177083333333333,0.274,513.3333333333333,0.21,0.7608695652173914,,,,49.0,222.0,200.0,34.0,62.0,17.0,2.0,1.0,86.0,24.0,0.0,,3.0,0.0,18.0,1.0,,,0.31,0.43,0.37,42.0,0.0,,0.0,,31.559633027522935,29.506
1937,PRE,大阪タイガース,3103872,藤井　勇,,49.0,218.0,187.0,29.0,56.0,7.0,3.0,1.0,72.0,36.0,0.0,0.0,2.0,0.0,28.0,0.0,1.0,12.0,0.0,0.299,0.394,0.385,0.779,45.0,0.08600000000000002,0.09500000000000003,0.48,12.844036697247708,5.5045871559633035,2.3333333333333335,0.3160919540229885,0.27355,522.3333333333334,0.23529411764705882,0.7709923664122137,,,,49.0,218.0,187.0,29.0,56.0,7.0,3.0,1.0,72.0,36.0,0.0,,2.0,0.0,28.0,1.0,,,0.299,0.385,0.394,45.0,0.0,,0.0,,28.130232558139536,28.832
1937,PRE,阪急軍,3503872,宮武　三郎,,33.0,127.0,115.0,10.0,26.0,5.0,0.0,2.0,37.0,16.0,0.0,0.0,1.0,0.0,10.0,0.0,1.0,8.0,0.0,0.226,0.294,0.322,0.616,19.0,0.096,0.06799999999999998,0.39,7.874015748031496,6.299212598425196,1.25,0.22857142857142856,0.2128,401.3333333333333,0.1826086956521739,0.5393258426966292,,,,33.0,127.0,115.0,10.0,26.0,5.0,0.0,2.0,37.0,16.0,0.0,,1.0,0.0,10.0,1.0,,,0.226,0.322,0.294,19.0,0.0,,0.0,,10.656,10.888
1937,PRE,阪急軍,3703872,山下　実,,39.0,143.0,105.0,17.0,27.0,4.0,1.0,5.0,48.0,29.0,0.0,0.0,1.0,0.0,32.0,0.0,5.0,19.0,0.0,0.257,0.451,0.457,0.908,17.0,0.2,0.194,0.651,22.377622377622377,13.286713286713287,1.6842105263157894,0.2716049382716049,0.31720000000000004,603.3333333333334,0.5047619047619047,1.0897435897435896,,,,39.0,143.0,105.0,17.0,27.0,4.0,1.0,5.0,48.0,29.0,0.0,,1.0,0.0,32.0,5.0,,,0.257,0.457,0.451,17.0,0.0,,0.0,,20.67153284671533,24.186
1937,PRE,東京巨人軍,11613872,中島　治康,,40.0,176.0,166.0,22.0,49.0,4.0,3.0,5.0,74.0,37.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,9.0,0.0,0.295,0.331,0.446,0.777,37.0,0.15100000000000002,0.03600000000000003,0.482,5.113636363636364,5.113636363636364,1.0,0.2894736842105263,0.26045,479.6666666666667,0.20481927710843373,0.7094017094017094,,,,40.0,176.0,166.0,22.0,49.0,4.0,3.0,5.0,74.0,37.0,0.0,,1.0,0.0,9.0,0.0,,,0.295,0.446,0.331,37.0,0.0,,0.0,,24.525714285714287,23.204
1937,PRE,阪急軍,11813872,西村　正夫,,39.0,141.0,117.0,16.0,24.0,3.0,0.0,0.0,27.0,6.0,0.0,0.0,1.0,0.0,23.0,0.0,0.0,7.0,0.0,0.205,0.336,0.231,0.5670000000000001,21.0,0.026000000000000023,0.13100000000000003,0.362,16.312056737588655,4.964539007092199,3.2857142857142856,0.21818181818181817,0.20895,413.00000000000006,0.2222222222222222,0.5376344086021505,,,,39.0,141.0,117.0,16.0,24.0,3.0,0.0,0.0,27.0,6.0,0.0,,1.0,0.0,23.0,0.0,,,0.205,0.231,0.336,21.0,0.0,,0.0,,9.064285714285715,11.136
1937,PRE,阪急軍,13313872,堀尾　文人,,45.0,174.0,154.0,16.0,39.0,10.0,0.0,3.0,58.0,27.0,0.0,0.0,1.0,0.0,16.0,0.0,3.0,18.0,0.0,0.253,0.335,0.377,0.712,26.0,0.124,0.08200000000000002,0.459,9.195402298850574,10.344827586206897,0.8888888888888888,0.2706766917293233,0.24500000000000002,460.6666666666667,0.22727272727272727,0.6695652173913044,,,,45.0,174.0,154.0,16.0,39.0,10.0,0.0,3.0,58.0,27.0,0.0,,1.0,0.0,16.0,3.0,,,0.253,0.377,0.335,26.0,0.0,,0.0,,18.764705882352942,19.52
1937,PRE,大阪タイガース,21123872,伊賀上　潤伍,,47.0,218.0,187.0,29.0,42.0,6.0,4.0,0.0,56.0,26.0,0.0,0.0,0.0,0.0,29.0,0.0,2.0,16.0,0.0,0.225,0.335,0.299,0.634,32.0,0.07399999999999998,0.11000000000000001,0.409,13.302752293577983,7.339449541284404,1.8125,0.24561403508771928,0.22550000000000003,434.6666666666667,0.22994652406417113,0.6,,,,47.0,218.0,187.0,29.0,42.0,6.0,4.0,0.0,56.0,26.0,0.0,,0.0,0.0,29.0,2.0,,,0.225,0.299,0.335,32.0,0.0,,0.0,,18.40740740740741,20.5
1937,PRE,大阪タイガース,23123872,藤村　富美男,,40.0,136.0,126.0,20.0,40.0,8.0,4.0,0.0,56.0,16.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,7.0,0.0,0.317,0.368,0.444,0.812,28.0,0.127,0.05099999999999999,0.495,5.88235294117647,5.147058823529411,1.1428571428571428,0.33613445378151263,0.2766,516.0,0.19047619047619047,0.7674418604651163,,,,40.0,136.0,126.0,20.0,40.0,8.0,4.0,0.0,56.0,16.0,0.0,,0.0,0.0,8.0,2.0,,,0.317,0.444,0.368,28.0,0.0,,0.0,,20.059701492537314,18.791999999999998
1937,PRE,大阪タイガース,23323872,松木　謙治郎,,44.0,223.0,192.0,37.0,48.0,7.0,6.0,3.0,76.0,34.0,0.0,0.0,3.0,0.0,27.0,0.0,1.0,21.0,0.0,0.25,0.345,0.396,0.741,32.0,0.14600000000000002,0.09499999999999997,0.491,12.10762331838565,9.417040358744394,1.2857142857142858,0.26785714285714285,0.25425,477.0,0.2864583333333333,0.7222222222222222,,,,44.0,223.0,192.0,37.0,48.0,7.0,6.0,3.0,76.0,34.0,0.0,,3.0,0.0,27.0,1.0,,,0.25,0.396,0.345,32.0,0.0,,0.0,,26.027397260273972,26.728
