year,league,team,player_id,player_name_ja,player_name_en,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,OBP,SLG,OPS,1B,IsoP,IsoD,IOPS,BB%,K%,BB/K,BABIP,GPA,NOI,SecA,TA,player_name,raw_team_name,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率,単打,敬遠,K,盗塁死,GIDP,RC,XR
1937,PRE,大阪タイガース,3103872,藤井　勇,,56.0,263.0,219.0,49.0,56.0,12.0,5.0,0.0,78.0,31.0,0.0,0.0,2.0,0.0,41.0,0.0,1.0,25.0,0.0,0.256,0.375,0.356,0.731,39.0,0.09999999999999998,0.119,0.475,15.5893536121673,9.505703422053232,1.64,0.28865979381443296,0.25775000000000003,493.66666666666663,0.2876712328767123,0.7361963190184049,,,,56.0,263.0,219.0,49.0,56.0,12.0,5.0,0.0,78.0,31.0,0.0,,2.0,0.0,41.0,1.0,,,0.256,0.356,0.375,39.0,0.0,,0.0,,29.1,31.226000000000003
1937,PRE,大東京軍,11213874,藤浪　光雄,,42.0,154.0,137.0,14.0,30.0,4.0,2.0,1.0,41.0,10.0,0.0,0.0,0.0,0.0,16.0,0.0,1.0,7.0,0.0,0.219,0.305,0.299,0.604,23.0,0.07999999999999999,0.086,0.385,10.38961038961039,4.545454545454546,2.2857142857142856,0.2248062015503876,0.21200000000000002,404.6666666666667,0.19708029197080293,0.5420560747663551,,,,42.0,154.0,137.0,14.0,30.0,4.0,2.0,1.0,41.0,10.0,0.0,,0.0,0.0,16.0,1.0,,,0.219,0.299,0.305,23.0,0.0,,0.0,,12.326797385620916,13.024000000000001
1937,PRE,東京巨人軍,11613872,中島　治康,,56.0,251.0,221.0,32.0,63.0,10.0,5.0,4.0,95.0,30.0,0.0,0.0,3.0,0.0,27.0,0.0,0.0,8.0,0.0,0.285,0.363,0.43,0.7929999999999999,44.0,0.14500000000000002,0.07800000000000001,0.508,10.756972111553784,3.187250996015936,3.375,0.2822966507177033,0.27085,506.3333333333333,0.2669683257918552,0.7721518987341772,,,,56.0,251.0,221.0,32.0,63.0,10.0,5.0,4.0,95.0,30.0,0.0,,3.0,0.0,27.0,0.0,,,0.285,0.43,0.363,44.0,0.0,,0.0,,34.475806451612904,33.58599999999999
1937,PRE,阪急軍,11813872,西村　正夫,,54.0,246.0,195.0,48.0,54.0,2.0,3.0,0.0,62.0,14.0,0.0,0.0,7.0,0.0,43.0,0.0,1.0,21.0,0.0,0.277,0.41,0.318,0.728,49.0,0.04099999999999998,0.13299999999999995,0.4509999999999999,17.479674796747968,8.536585365853659,2.0476190476190474,0.3103448275862069,0.264,516.0,0.26153846153846155,0.75177304964539,,,,54.0,246.0,195.0,48.0,54.0,2.0,3.0,0.0,62.0,14.0,0.0,,7.0,0.0,43.0,1.0,,,0.277,0.318,0.41,49.0,0.0,,0.0,,25.26890756302521,29.762000000000004
1937,PRE,大阪タイガース,21123872,伊賀上　潤伍,,52.0,219.0,188.0,27.0,43.0,6.0,8.0,0.0,65.0,29.0,0.0,0.0,0.0,0.0,30.0,0.0,1.0,13.0,0.0,0.229,0.338,0.346,0.6839999999999999,29.0,0.11699999999999997,0.10900000000000001,0.4549999999999999,13.698630136986301,5.93607305936073,2.3076923076923075,0.24571428571428572,0.2386,453.33333333333337,0.2765957446808511,0.6620689655172414,,,,52.0,219.0,188.0,27.0,43.0,6.0,8.0,0.0,65.0,29.0,0.0,,0.0,0.0,30.0,1.0,,,0.229,0.346,0.338,29.0,0.0,,0.0,,21.76605504587156,23.160000000000004
1937,PRE,阪急軍,21323872,宇野　錦次,,47.0,177.0,161.0,11.0,35.0,6.0,0.0,0.0,41.0,8.0,0.0,0.0,2.0,0.0,14.0,0.0,0.0,28.0,0.0,0.217,0.28,0.255,0.535,29.0,0.038000000000000006,0.06300000000000003,0.318,7.909604519774012,15.819209039548024,0.5,0.2631578947368421,0.18975000000000003,365.00000000000006,0.12422360248447205,0.4365079365079365,,,,47.0,177.0,161.0,11.0,35.0,6.0,0.0,0.0,41.0,8.0,0.0,,2.0,0.0,14.0,0.0,,,0.217,0.255,0.28,29.0,0.0,,0.0,,11.48,11.092
1937,PRE,大東京軍,21723872,鬼頭　数雄,,49.0,220.0,187.0,34.0,60.0,8.0,4.0,2.0,82.0,22.0,0.0,0.0,0.0,0.0,29.0,0.0,4.0,7.0,0.0,0.321,0.423,0.439,0.862,46.0,0.118,0.10199999999999998,0.5409999999999999,13.18181818181818,3.1818181818181817,4.142857142857143,0.3258426966292135,0.3001,569.3333333333334,0.2727272727272727,0.905511811023622,,,,49.0,220.0,187.0,34.0,60.0,8.0,4.0,2.0,82.0,22.0,0.0,,0.0,0.0,29.0,4.0,,,0.321,0.439,0.423,46.0,0.0,,0.0,,33.78703703703704,34.24400000000001
1937,PRE,大阪タイガース,23123872,藤村　富美男,,40.0,123.0,105.0,13.0,25.0,10.0,2.0,0.0,39.0,15.0,0.0,0.0,0.0,0.0,17.0,0.0,1.0,13.0,0.0,0.238,0.35,0.371,0.721,13.0,0.133,0.11199999999999999,0.483,13.821138211382115,10.569105691056912,1.3076923076923077,0.2717391304347826,0.25025,473.66666666666663,0.29523809523809524,0.7125,,,,40.0,123.0,105.0,13.0,25.0,10.0,2.0,0.0,39.0,15.0,0.0,,0.0,0.0,17.0,1.0,,,0.238,0.371,0.35,13.0,0.0,,0.0,,13.426229508196721,13.879999999999999
1937,PRE,大阪タイガース,23323872,松木　謙治郎,,56.0,259.0,207.0,48.0,70.0,10.0,5.0,4.0,102.0,28.0,0.0,0.0,2.0,0.0,48.0,0.0,2.0,16.0,0.0,0.338,0.467,0.493,0.96,51.0,0.15499999999999997,0.129,0.622,18.53281853281853,6.177606177606178,3.0,0.35294117647058826,0.33340000000000003,631.3333333333333,0.3864734299516908,1.1094890510948905,,,,56.0,259.0,207.0,48.0,70.0,10.0,5.0,4.0,102.0,28.0,0.0,,2.0,0.0,48.0,2.0,,,0.338,0.493,0.467,51.0,0.0,,0.0,,47.2,46.734
1937,PRE,東京巨人軍,31233872,白石　勝巳,,30.0,133.0,120.0,16.0,28.0,5.0,5.0,1.0,46.0,19.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,13.0,0.0,0.233,0.308,0.383,0.6910000000000001,17.0,0.15,0.07499999999999998,0.4579999999999999,9.022556390977442,9.774436090225564,0.9230769230769231,0.25471698113207547,0.23435,435.66666666666663,0.25,0.6413043478260869,,,,30.0,133.0,120.0,16.0,28.0,5.0,5.0,1.0,46.0,19.0,0.0,,0.0,0.0,12.0,1.0,,,0.233,0.383,0.308,17.0,0.0,,0.0,,13.93939393939394,14.014000000000001
