year,league,team,player_id,player_name_ja,player_name_en,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,OBP,SLG,OPS,1B,IsoP,IsoD,IOPS,BB%,K%,BB/K,BABIP,GPA,NOI,SecA,TA,player_name,raw_team_name,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率,単打,敬遠,K,盗塁死,GIDP,RC,XR
1941,PRE,東京巨人軍,1003876,吉原　正喜,,72.0,297.0,248.0,34.0,62.0,8.0,0.0,4.0,82.0,26.0,0.0,0.0,1.0,0.0,45.0,0.0,2.0,23.0,0.0,0.25,0.369,0.331,0.7,50.0,0.08100000000000002,0.119,0.45,15.151515151515152,7.744107744107744,1.9565217391304348,0.26244343891402716,0.24880000000000002,479.3333333333333,0.2620967741935484,0.6935483870967742,,,,72.0,297.0,248.0,34.0,62.0,8.0,0.0,4.0,82.0,26.0,0.0,,1.0,0.0,45.0,2.0,,,0.25,0.331,0.369,50.0,0.0,,0.0,,29.945392491467576,33.802
1941,PRE,名古屋軍,1003878,吉田　和生,,82.0,343.0,300.0,32.0,58.0,11.0,4.0,3.0,86.0,35.0,0.0,0.0,2.0,0.0,40.0,0.0,1.0,24.0,0.0,0.193,0.29,0.287,0.577,40.0,0.09399999999999997,0.09699999999999998,0.3839999999999999,11.661807580174926,6.997084548104956,1.6666666666666667,0.20146520146520147,0.20224999999999999,385.6666666666667,0.22666666666666666,0.5247933884297521,,,,82.0,343.0,300.0,32.0,58.0,11.0,4.0,3.0,86.0,35.0,0.0,,2.0,0.0,40.0,1.0,,,0.193,0.287,0.29,40.0,0.0,,0.0,,24.788235294117648,26.214
1941,PRE,太陽軍,11013878,森田　実,,86.0,376.0,325.0,28.0,74.0,6.0,1.0,1.0,85.0,20.0,0.0,0.0,10.0,0.0,41.0,0.0,0.0,44.0,0.0,0.228,0.314,0.262,0.5760000000000001,66.0,0.034,0.086,0.348,10.904255319148938,11.702127659574469,0.9318181818181818,0.26071428571428573,0.2068,401.3333333333333,0.16,0.50199203187251,,,,86.0,376.0,325.0,28.0,74.0,6.0,1.0,1.0,85.0,20.0,0.0,,10.0,0.0,41.0,0.0,,,0.228,0.262,0.314,66.0,0.0,,0.0,,26.707650273224044,28.731999999999996
1941,PRE,太陽軍,1103891,石井　豊,,87.0,372.0,318.0,14.0,57.0,8.0,0.0,2.0,71.0,22.0,0.0,0.0,5.0,0.0,49.0,0.0,0.0,19.0,0.0,0.179,0.289,0.223,0.512,47.0,0.04400000000000001,0.10999999999999999,0.3329999999999999,13.172043010752688,5.10752688172043,2.5789473684210527,0.18518518518518517,0.1858,363.33333333333326,0.19811320754716982,0.45977011494252873,,,,87.0,372.0,318.0,14.0,57.0,8.0,0.0,2.0,71.0,22.0,0.0,,5.0,0.0,49.0,0.0,,,0.179,0.223,0.289,47.0,0.0,,0.0,,20.506811989100818,22.732000000000003
1941,PRE,大阪タイガース,11413874,皆川　定之,,84.0,369.0,295.0,16.0,52.0,9.0,1.0,0.0,63.0,16.0,0.0,0.0,21.0,0.0,50.0,0.0,3.0,39.0,0.0,0.176,0.302,0.214,0.516,42.0,0.038000000000000006,0.126,0.3399999999999999,13.550135501355012,10.569105691056912,1.2820512820512822,0.203125,0.18939999999999999,373.3333333333333,0.20677966101694914,0.4773662551440329,,,,84.0,369.0,295.0,16.0,52.0,9.0,1.0,0.0,63.0,16.0,0.0,,21.0,0.0,50.0,3.0,,,0.176,0.214,0.302,42.0,0.0,,0.0,,18.62608695652174,22.196000000000005
1941,PRE,東京巨人軍,11613872,中島　治康,,85.0,379.0,341.0,36.0,87.0,13.0,4.0,3.0,117.0,39.0,0.0,0.0,3.0,0.0,34.0,0.0,1.0,19.0,0.0,0.255,0.324,0.343,0.667,67.0,0.08800000000000002,0.069,0.412,8.970976253298153,5.013192612137203,1.7894736842105263,0.26332288401253917,0.23155000000000003,438.33333333333337,0.187683284457478,0.5984251968503937,,,,85.0,379.0,341.0,36.0,87.0,13.0,4.0,3.0,117.0,39.0,0.0,,3.0,0.0,34.0,1.0,,,0.255,0.343,0.324,67.0,0.0,,0.0,,37.752,37.998000000000005
1941,PRE,名古屋軍,11913878,服部　受弘,,77.0,314.0,278.0,29.0,54.0,5.0,0.0,8.0,83.0,27.0,0.0,0.0,2.0,0.0,34.0,0.0,0.0,23.0,0.0,0.194,0.282,0.299,0.581,41.0,0.10499999999999998,0.08799999999999997,0.3869999999999999,10.828025477707007,7.32484076433121,1.4782608695652173,0.1862348178137652,0.20165,381.66666666666663,0.22661870503597123,0.5223214285714286,,,,77.0,314.0,278.0,29.0,54.0,5.0,0.0,8.0,83.0,27.0,0.0,,2.0,0.0,34.0,0.0,,,0.194,0.299,0.282,41.0,0.0,,0.0,,23.41025641025641,24.888
1941,PRE,名古屋軍,1303874,大沢　伸夫,,68.0,299.0,241.0,16.0,55.0,4.0,0.0,0.0,59.0,13.0,0.0,0.0,3.0,0.0,54.0,0.0,1.0,16.0,0.0,0.228,0.372,0.245,0.617,51.0,0.016999999999999987,0.144,,18.06020066889632,5.351170568561873,3.375,0.24444444444444444,0.22865,453.6666666666667,0.24066390041493776,0.6129032258064516,,名古屋,,68.0,299.0,241.0,16.0,55.0,4.0,0.0,0.0,59.0,13.0,0.0,,3.0,0.0,54.0,1.0,,,0.228,0.245,0.372,51.0,0.0,,0.0,,21.8,28.302
1941,PRE,東京巨人軍,1303876,川上　哲治,,86.0,388.0,339.0,44.0,105.0,21.0,9.0,4.0,156.0,57.0,0.0,0.0,0.0,0.0,46.0,0.0,2.0,21.0,0.0,0.31,0.395,0.46,0.855,71.0,0.15000000000000002,0.08500000000000002,0.545,11.855670103092782,5.412371134020619,2.1904761904761907,0.321656050955414,0.29275,548.3333333333334,0.2861356932153392,0.8717948717948718,,,,86.0,388.0,339.0,44.0,105.0,21.0,9.0,4.0,156.0,57.0,0.0,,0.0,0.0,46.0,2.0,,,0.31,0.46,0.395,71.0,0.0,,0.0,,61.18441558441558,58.647999999999996
1941,PRE,南海,1303878,岡村　俊昭,,81.0,322.0,274.0,17.0,60.0,13.0,1.0,1.0,78.0,23.0,0.0,0.0,4.0,0.0,44.0,0.0,0.0,32.0,0.0,0.219,0.327,0.285,0.612,45.0,0.06599999999999998,0.10800000000000001,0.393,13.664596273291925,9.937888198757763,1.375,0.24481327800829875,0.21839999999999998,422.0,0.22627737226277372,0.5700934579439252,,,,81.0,322.0,274.0,17.0,60.0,13.0,1.0,1.0,78.0,23.0,0.0,,4.0,0.0,44.0,0.0,,,0.219,0.285,0.327,45.0,0.0,,0.0,,25.50943396226415,27.887999999999998
