year,league,team,player_id,player_name_ja,player_name_en,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,OBP,SLG,OPS,1B,IsoP,IsoD,IOPS,BB%,K%,BB/K,BABIP,GPA,NOI,SecA,TA,player_name,raw_team_name,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率,単打,敬遠,K,盗塁死,GIDP,RC,XR
1943,PRE,名古屋軍,1003878,吉田　和生,,83.0,349.0,303.0,25.0,77.0,12.0,2.0,2.0,99.0,30.0,8.0,0.0,5.0,0.0,40.0,0.0,1.0,16.0,0.0,0.254,0.343,0.327,0.67,61.0,0.07300000000000001,0.08900000000000002,0.416,11.461318051575931,4.584527220630372,2.5,0.2631578947368421,0.23610000000000003,452.0,0.23102310231023102,0.6548672566371682,,,,83.0,349.0,303.0,25.0,77.0,12.0,2.0,2.0,99.0,30.0,8.0,,5.0,0.0,40.0,1.0,,,0.254,0.327,0.343,61.0,0.0,,0.0,,33.76967930029154,36.922
1943,PRE,名古屋軍,11013874,西沢　道夫,,44.0,108.0,103.0,4.0,23.0,2.0,0.0,0.0,25.0,10.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,7.0,0.0,0.223,0.259,0.243,0.502,21.0,0.01999999999999999,0.036000000000000004,0.279,4.62962962962963,6.481481481481481,0.7142857142857143,0.23958333333333334,0.1773,340.0,0.06796116504854369,0.375,,,,44.0,108.0,103.0,4.0,23.0,2.0,0.0,0.0,25.0,10.0,0.0,,0.0,0.0,5.0,0.0,,,0.223,0.243,0.259,21.0,0.0,,0.0,,6.481481481481482,5.75
1943,PRE,大阪タイガース,11013895,安居　玉一,,81.0,302.0,272.0,25.0,61.0,7.0,4.0,0.0,76.0,21.0,5.0,0.0,6.0,0.0,24.0,0.0,0.0,18.0,0.0,0.224,0.287,0.279,0.5660000000000001,50.0,0.05500000000000002,0.06299999999999997,0.3419999999999999,7.9470198675496695,5.960264900662252,1.3333333333333333,0.24015748031496062,0.1989,380.0,0.16176470588235295,0.4976303317535545,,,,81.0,302.0,272.0,25.0,61.0,7.0,4.0,0.0,76.0,21.0,5.0,,6.0,0.0,24.0,0.0,,,0.224,0.279,0.287,50.0,0.0,,0.0,,21.824324324324323,22.342000000000002
1943,PRE,朝日,1103872,浅原　直人,,56.0,233.0,198.0,21.0,50.0,4.0,7.0,2.0,74.0,29.0,7.0,0.0,3.0,0.0,32.0,0.0,0.0,20.0,,0.253,0.357,0.374,0.731,37.0,0.121,0.10399999999999998,,13.733905579399142,8.583690987124463,1.6,0.2727272727272727,0.25415,481.66666666666663,0.3181818181818182,0.7635135135135135,,朝　日,,56.0,233.0,198.0,21.0,50.0,4.0,7.0,2.0,74.0,29.0,7.0,,3.0,0.0,32.0,0.0,,,0.253,0.374,0.357,37.0,0.0,,0.0,,26.382608695652173,28.855999999999998
1943,PRE,東京巨人軍,1103897,大屋　克己,,17.0,37.0,35.0,2.0,6.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.171,0.194,0.171,0.365,6.0,0.0,0.022999999999999993,0.194,2.7027027027027026,2.7027027027027026,1.0,0.17647058823529413,0.13005,251.0,0.02857142857142857,0.2413793103448276,,,,17.0,37.0,35.0,2.0,6.0,0.0,0.0,0.0,6.0,2.0,0.0,,1.0,0.0,1.0,0.0,,,0.171,0.171,0.194,6.0,0.0,,0.0,,1.1666666666666667,0.488
1943,PRE,東京巨人軍,11313893,小池　繁雄,,77.0,263.0,200.0,16.0,25.0,2.0,1.0,0.0,29.0,4.0,3.0,0.0,3.0,0.0,56.0,0.0,4.0,43.0,0.0,0.125,0.327,0.145,0.472,22.0,0.01999999999999999,0.202,0.347,21.292775665399237,16.34980988593156,1.302325581395349,0.1592356687898089,0.1834,375.33333333333337,0.315,0.5257142857142857,,,,77.0,263.0,200.0,16.0,25.0,2.0,1.0,0.0,29.0,4.0,3.0,,3.0,0.0,56.0,4.0,,,0.125,0.145,0.327,22.0,0.0,,0.0,,9.17578125,16.669999999999998
1943,PRE,西鉄軍,11313897,近藤　貞雄,,27.0,47.0,45.0,3.0,11.0,2.0,0.0,0.0,13.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.244,0.277,0.289,0.5660000000000001,9.0,0.044999999999999984,0.03300000000000003,0.322,4.25531914893617,0.0,nan,0.24444444444444444,0.19690000000000002,373.33333333333337,0.1111111111111111,0.47058823529411764,,,,27.0,47.0,45.0,3.0,11.0,2.0,0.0,0.0,13.0,1.0,1.0,,0.0,0.0,2.0,0.0,,,0.244,0.289,0.277,9.0,0.0,,0.0,,3.595744680851064,3.447999999999999
1943,PRE,阪急,11513897,遠山　晴富,,10.0,24.0,22.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.045,0.125,0.045,0.16999999999999998,1.0,0.0,0.08,0.125,8.333333333333332,0.0,nan,0.045454545454545456,0.0675,140.0,0.09090909090909091,0.14285714285714285,,,,10.0,24.0,22.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,0.0,2.0,0.0,,,0.045,0.045,0.125,1.0,0.0,,0.0,,0.125,-0.8980000000000001
1943,PRE,東京巨人軍,11613872,中島　治康,,75.0,299.0,272.0,19.0,54.0,8.0,2.0,3.0,75.0,32.0,3.0,0.0,3.0,0.0,23.0,0.0,1.0,19.0,0.0,0.199,0.264,0.276,0.54,41.0,0.07700000000000001,0.065,0.341,7.6923076923076925,6.354515050167224,1.2105263157894737,0.204,0.18780000000000002,356.00000000000006,0.17279411764705882,0.46788990825688076,,,,75.0,299.0,272.0,19.0,54.0,8.0,2.0,3.0,75.0,32.0,3.0,,3.0,0.0,23.0,1.0,,,0.199,0.276,0.264,41.0,0.0,,0.0,,19.576271186440678,19.755999999999997
1943,PRE,南海,11713895,長沼　要男,,22.0,37.0,37.0,1.0,7.0,0.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.189,0.189,0.189,0.378,7.0,0.0,0.0,0.189,0.0,21.62162162162162,0.0,0.2413793103448276,0.1323,252.0,0.0,0.23333333333333334,,,,22.0,37.0,37.0,1.0,7.0,0.0,0.0,0.0,7.0,4.0,0.0,,0.0,0.0,0.0,0.0,,,0.189,0.189,0.189,7.0,0.0,,0.0,,1.3243243243243243,0.56
1943,PRE,西鉄軍,11713897,真野　常照,,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.25,25.0,50.0,0.5,0.0,0.1125,250.0,0.3333333333333333,0.3333333333333333,,,,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,,0.0,0.0,0.25,0.0,0.0,,0.0,,0.0,0.035999999999999976
1943,PRE,阪急,11813872,西村　正夫,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,nan,nan,nan,nan,0.0,0.0,nan,nan,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,0.0,,nan,0.0
1943,PRE,大阪タイガース,11913874,塚本　博睦,,81.0,329.0,284.0,26.0,54.0,10.0,2.0,0.0,68.0,10.0,6.0,0.0,6.0,0.0,39.0,0.0,0.0,32.0,0.0,0.19,0.288,0.239,0.5269999999999999,42.0,0.04899999999999999,0.09799999999999998,0.3369999999999999,11.854103343465045,9.72644376899696,1.21875,0.21428571428571427,0.18935,367.66666666666663,0.20774647887323944,0.49130434782608695,,,,81.0,329.0,284.0,26.0,54.0,10.0,2.0,0.0,68.0,10.0,6.0,,6.0,0.0,39.0,0.0,,,0.19,0.239,0.288,42.0,0.0,,0.0,,19.57894736842105,21.690000000000005
1943,PRE,南海,1303878,岡村　俊昭,,83.0,347.0,281.0,27.0,59.0,7.0,2.0,1.0,73.0,15.0,7.0,0.0,7.0,0.0,58.0,0.0,1.0,28.0,0.0,0.21,0.347,0.26,0.607,49.0,0.05000000000000002,0.13699999999999998,0.397,16.714697406340058,8.069164265129682,2.0714285714285716,0.23015873015873015,0.22114999999999999,433.66666666666663,0.28113879003558717,0.6261261261261262,,,,83.0,347.0,281.0,27.0,59.0,7.0,2.0,1.0,73.0,15.0,7.0,,7.0,0.0,58.0,1.0,,,0.21,0.26,0.347,49.0,0.0,,0.0,,25.194690265486727,32.034
1943,PRE,大阪タイガース,13913872,若林　忠志,,55.0,182.0,153.0,11.0,36.0,2.0,0.0,1.0,41.0,22.0,3.0,0.0,10.0,0.0,18.0,0.0,1.0,10.0,0.0,0.235,0.32,0.268,0.5880000000000001,33.0,0.03300000000000003,0.08500000000000002,0.353,9.89010989010989,5.4945054945054945,1.8,0.24647887323943662,0.21100000000000002,409.3333333333333,0.16993464052287582,0.5384615384615384,,,,55.0,182.0,153.0,11.0,36.0,2.0,0.0,1.0,41.0,22.0,3.0,,10.0,0.0,18.0,1.0,,,0.235,0.268,0.32,33.0,0.0,,0.0,,12.947368421052632,14.724
