year,league,team,player_id,player_name_ja,player_name_en,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,OBP,SLG,OPS,1B,IsoP,IsoD,IOPS,BB%,K%,BB/K,BABIP,GPA,NOI,SecA,TA,打率,安打,本塁打,打点,試合,打席,打数,単打,二塁打,三塁打,得点,出塁率,長打率,四球,敬遠,死球,三振,塁打,盗塁,盗塁死,犠打,犠飛,併殺打,RC,XR
1974,PL,千葉ロッテマリーンズ,11913826,竹之内　雅史,M.Takenouchi,119.0,481.0,419.0,59.0,108.0,17.0,1.0,22.0,193.0,73.0,4.0,0,1.0,3.0,43.0,0,15.0,62.0,12.0,0.258,0.346,0.461,0.8069999999999999,68.0,0.203,0.08799999999999997,0.5489999999999999,8.93970893970894,12.889812889812891,0.6935483870967742,0.25443786982248523,0.27095,499.66666666666663,0.315035799522673,0.7894736842105263,0.258,108.0,22.0,73.0,119.0,481.0,419.0,68.0,17.0,1.0,59.0,0.346,0.461,43.0,0,15.0,,193.0,4.0,0,1.0,3.0,,63.08008658008658,68.34200000000001
1974,PL,福岡ソフトバンクホークス,1503827,島野　育夫,I.Shimano,106.0,413.0,380.0,55.0,104.0,17.0,6.0,2.0,139.0,25.0,17.0,0,2.0,3.0,26.0,0,2.0,39.0,4.0,0.274,0.321,0.366,0.687,79.0,0.09199999999999997,0.046999999999999986,0.413,6.2953995157385,9.443099273607748,0.6666666666666666,0.2982456140350877,0.23595,443.0,0.20526315789473684,0.6571428571428571,0.274,104.0,2.0,25.0,106.0,413.0,380.0,79.0,17.0,6.0,55.0,0.321,0.366,26.0,0,2.0,,139.0,17.0,0,2.0,3.0,,44.50738916256157,46.11200000000001
1974,PL,福岡ソフトバンクホークス,1703824,桜井　輝秀,T.Sakurai,130.0,564.0,502.0,56.0,131.0,19.0,4.0,3.0,167.0,36.0,5.0,0,11.0,4.0,46.0,0,1.0,52.0,12.0,0.261,0.322,0.333,0.655,105.0,0.07200000000000001,0.061,0.394,8.156028368794328,9.219858156028367,0.8846153846153846,0.2838137472283814,0.22815000000000002,433.0,0.17330677290836655,0.5718015665796344,0.261,131.0,3.0,36.0,130.0,564.0,502.0,105.0,19.0,4.0,56.0,0.322,0.333,46.0,0,1.0,,167.0,5.0,0,11.0,4.0,,53.93978102189781,54.712
1974,PL,福岡ソフトバンクホークス,1903849,W.パーカー,W.Parker,127.0,533.0,482.0,66.0,145.0,27.0,3.0,14.0,220.0,59.0,6.0,0,1.0,7.0,39.0,0,4.0,45.0,10.0,0.301,0.353,0.456,0.8089999999999999,101.0,0.15500000000000003,0.05199999999999999,0.508,7.317073170731707,8.442776735459661,0.8666666666666667,0.30465116279069765,0.27285,505.0,0.24896265560165975,0.7752161383285303,0.301,145.0,14.0,59.0,127.0,533.0,482.0,101.0,27.0,3.0,66.0,0.353,0.456,39.0,0,4.0,,220.0,6.0,0,1.0,7.0,,77.69673704414588,75.464
1974,PL,千葉ロッテマリーンズ,21023845,弘田　澄男,S.Hirota,123.0,477.0,434.0,56.0,128.0,18.0,4.0,9.0,181.0,60.0,8.0,0,10.0,2.0,27.0,0,4.0,27.0,12.0,0.295,0.34,0.417,0.757,97.0,0.122,0.04500000000000004,0.462,5.660377358490567,5.660377358490567,1.0,0.2975,0.25725000000000003,479.0,0.20276497695852536,0.6918238993710691,0.295,128.0,9.0,60.0,123.0,477.0,434.0,97.0,18.0,4.0,56.0,0.34,0.417,27.0,0,4.0,,181.0,8.0,0,10.0,2.0,,60.856832971800436,60.262
1974,PL,千葉ロッテマリーンズ,21223824,基　満男,M.Motoi,114.0,451.0,391.0,50.0,95.0,10.0,1.0,12.0,143.0,37.0,4.0,0,9.0,2.0,43.0,0,6.0,57.0,9.0,0.243,0.326,0.366,0.692,72.0,0.123,0.08300000000000002,0.449,9.534368070953436,12.638580931263856,0.7543859649122807,0.25617283950617287,0.2382,448.0,0.24296675191815856,0.6426229508196721,0.243,95.0,12.0,37.0,114.0,451.0,391.0,72.0,10.0,1.0,50.0,0.326,0.366,43.0,0,6.0,,143.0,4.0,0,9.0,2.0,,45.47004608294931,49.401999999999994
1974,PL,北海道日本ハムファイターズ,31233808,張本　勲,I.Harimoto,120.0,491.0,406.0,64.0,138.0,20.0,3.0,14.0,206.0,62.0,6.0,0,0.0,2.0,82.0,0,1.0,28.0,3.0,0.34,0.45,0.507,0.9570000000000001,101.0,0.16699999999999998,0.10999999999999999,0.617,16.700610997963338,5.7026476578411405,2.9285714285714284,0.33879781420765026,0.32925000000000004,619.0,0.3842364532019704,1.088560885608856,0.34,138.0,14.0,62.0,120.0,491.0,406.0,101.0,20.0,3.0,64.0,0.45,0.507,82.0,0,1.0,,206.0,6.0,0,0.0,2.0,,92.8688524590164,90.38600000000001
1974,PL,千葉ロッテマリーンズ,31433820,山崎　裕之,H.Yamazaki,124.0,507.0,454.0,62.0,126.0,32.0,3.0,11.0,197.0,58.0,5.0,0,9.0,5.0,39.0,0,0.0,70.0,12.0,0.278,0.331,0.434,0.765,80.0,0.15599999999999997,0.05299999999999999,0.487,7.6923076923076925,13.806706114398423,0.5571428571428572,0.30423280423280424,0.25745,475.6666666666667,0.2533039647577093,0.7088235294117647,0.278,126.0,11.0,58.0,124.0,507.0,454.0,80.0,32.0,3.0,62.0,0.331,0.434,39.0,0,0.0,,197.0,5.0,0,9.0,5.0,,65.93306288032454,63.62600000000001
1974,PL,近鉄バファローズ,31933847,羽田　耕一,K.Hada,130.0,541.0,501.0,54.0,124.0,12.0,0.0,14.0,178.0,55.0,3.0,0,3.0,6.0,29.0,0,2.0,68.0,22.0,0.248,0.288,0.355,0.643,98.0,0.10699999999999998,0.03999999999999998,0.3949999999999999,5.360443622920517,12.56931608133087,0.4264705882352941,0.25882352941176473,0.21835,406.3333333333333,0.17165668662674652,0.531328320802005,0.248,124.0,14.0,55.0,130.0,541.0,501.0,98.0,12.0,0.0,54.0,0.288,0.355,29.0,0,2.0,,178.0,3.0,0,3.0,6.0,,51.384905660377356,51.62400000000001
1974,PL,北海道日本ハムファイターズ,41343820,大杉　勝男,K.Oosugi,130.0,521.0,461.0,54.0,108.0,14.0,0.0,22.0,188.0,90.0,2.0,0,0.0,8.0,48.0,0,4.0,73.0,12.0,0.234,0.307,0.408,0.715,72.0,0.17399999999999996,0.07299999999999998,0.481,9.213051823416507,14.011516314779271,0.6575342465753424,0.22994652406417113,0.24014999999999997,442.99999999999994,0.28199566160520606,0.663013698630137,0.234,108.0,22.0,90.0,130.0,521.0,461.0,72.0,14.0,0.0,54.0,0.307,0.408,48.0,0,4.0,,188.0,2.0,0,0.0,8.0,,57.618860510805504,60.685999999999986
1974,PL,北海道日本ハムファイターズ,41743845,千藤　三樹男,M.Sendou,113.0,405.0,356.0,31.0,91.0,9.0,3.0,6.0,124.0,39.0,6.0,0,8.0,4.0,30.0,0,7.0,22.0,7.0,0.256,0.322,0.348,0.6699999999999999,73.0,0.09199999999999997,0.066,0.414,7.4074074074074066,5.432098765432099,1.3636363636363635,0.2560240963855422,0.2319,438.0,0.19382022471910113,0.6139705882352942,0.256,91.0,6.0,39.0,113.0,405.0,356.0,73.0,9.0,3.0,31.0,0.322,0.348,30.0,0,7.0,,124.0,6.0,0,8.0,4.0,,38.870466321243526,42.05999999999999
1974,PL,近鉄バファローズ,51353826,小川　亨,T.Ogawa,119.0,474.0,392.0,59.0,108.0,5.0,2.0,7.0,138.0,32.0,13.0,0,5.0,1.0,65.0,0,11.0,26.0,6.0,0.276,0.392,0.352,0.744,94.0,0.07599999999999996,0.11599999999999999,0.4679999999999999,13.71308016877637,5.485232067510549,2.5,0.28055555555555556,0.26439999999999997,509.3333333333333,0.2755102040816326,0.7827586206896552,0.276,108.0,7.0,32.0,119.0,474.0,392.0,94.0,5.0,2.0,59.0,0.392,0.352,65.0,0,11.0,,138.0,13.0,0,5.0,1.0,,52.24070021881838,62.348000000000006
1974,PL,近鉄バファローズ,51453825,土井　正博,M.Doi,130.0,516.0,429.0,60.0,119.0,8.0,0.0,29.0,214.0,67.0,2.0,0,0.0,4.0,74.0,0,9.0,35.0,18.0,0.277,0.391,0.499,0.89,82.0,0.22199999999999998,0.11399999999999999,0.613,14.34108527131783,6.782945736434108,2.1142857142857143,0.24390243902439024,0.3007,557.3333333333334,0.3986013986013986,0.9115853658536586,0.277,119.0,29.0,67.0,130.0,516.0,429.0,82.0,8.0,0.0,60.0,0.391,0.499,74.0,0,9.0,,214.0,2.0,0,0.0,4.0,,82.11133200795229,85.88999999999999
1974,PL,北海道日本ハムファイターズ,51753824,阪本　敏三,T.Sakamoto,109.0,433.0,393.0,38.0,110.0,20.0,2.0,10.0,164.0,47.0,6.0,0,8.0,3.0,26.0,0,3.0,41.0,8.0,0.28,0.327,0.417,0.744,78.0,0.13699999999999996,0.046999999999999986,0.4639999999999999,6.0046189376443415,9.468822170900692,0.6341463414634146,0.2898550724637681,0.2514,465.99999999999994,0.21882951653944022,0.6838487972508591,0.28,110.0,10.0,47.0,109.0,433.0,393.0,78.0,20.0,2.0,38.0,0.327,0.417,26.0,0,3.0,,164.0,6.0,0,8.0,3.0,,53.23150357995227,52.795999999999985
1974,PL,千葉ロッテマリーンズ,61063820,福富　邦夫,K.Fukutomi,113.0,407.0,365.0,36.0,95.0,19.0,1.0,4.0,128.0,42.0,5.0,0,2.0,5.0,33.0,0,2.0,48.0,3.0,0.26,0.321,0.351,0.6719999999999999,71.0,0.09099999999999997,0.061,0.412,8.108108108108109,11.793611793611793,0.6875,0.2861635220125786,0.2322,438.0,0.19452054794520549,0.6153846153846154,0.26,95.0,4.0,42.0,113.0,407.0,365.0,71.0,19.0,1.0,36.0,0.321,0.351,33.0,0,2.0,,128.0,5.0,0,2.0,5.0,,41.165829145728644,41.970000000000006
1974,PL,オリックス・バファローズ,61263820,森本　潔,K.Morimoto,121.0,480.0,418.0,47.0,116.0,27.0,1.0,16.0,193.0,61.0,7.0,0,1.0,2.0,55.0,0,4.0,49.0,12.0,0.278,0.365,0.462,0.827,72.0,0.184,0.08699999999999997,0.5489999999999999,11.458333333333332,10.208333333333334,1.1224489795918366,0.28169014084507044,0.27975,519.0,0.33253588516746413,0.8248407643312102,0.278,116.0,16.0,61.0,121.0,480.0,418.0,72.0,27.0,1.0,47.0,0.365,0.462,55.0,0,4.0,,193.0,7.0,0,1.0,2.0,,69.7737843551797,70.654
1974,PL,オリックス・バファローズ,61363828,加藤　英司,H.Katou,120.0,476.0,428.0,65.0,138.0,25.0,2.0,19.0,224.0,75.0,11.0,0,2.0,7.0,37.0,0,2.0,55.0,7.0,0.322,0.373,0.523,0.896,92.0,0.201,0.05099999999999999,0.5740000000000001,7.773109243697479,11.554621848739496,0.6727272727272727,0.3296398891966759,0.2986,547.3333333333334,0.3130841121495327,0.9225589225589226,0.322,138.0,19.0,75.0,120.0,476.0,428.0,92.0,25.0,2.0,65.0,0.373,0.523,37.0,0,2.0,,224.0,11.0,0,2.0,7.0,,84.3010752688172,79.87
1974,PL,オリックス・バファローズ,61363829,大熊　忠義,T.Ookuma,123.0,438.0,379.0,59.0,93.0,15.0,3.0,7.0,135.0,35.0,2.0,0,16.0,3.0,32.0,0,8.0,40.0,3.0,0.245,0.315,0.356,0.671,68.0,0.11099999999999999,0.07,0.426,7.30593607305936,9.1324200913242,0.8,0.25671641791044775,0.23075,433.66666666666663,0.20052770448548812,0.6124567474048442,0.245,93.0,7.0,35.0,123.0,438.0,379.0,68.0,15.0,3.0,59.0,0.315,0.356,32.0,0,8.0,,135.0,2.0,0,16.0,3.0,,41.058394160583944,43.53199999999998
1974,PL,近鉄バファローズ,61763841,C.ジョーンズ,C.Jones,130.0,515.0,411.0,66.0,93.0,12.0,1.0,38.0,221.0,90.0,1.0,0,0.0,5.0,96.0,0,3.0,112.0,7.0,0.226,0.373,0.538,0.911,42.0,0.31200000000000006,0.147,0.685,18.640776699029125,21.74757281553398,0.8571428571428571,0.20676691729323307,0.30235,552.3333333333334,0.5474452554744526,0.9876923076923076,0.226,93.0,38.0,90.0,130.0,515.0,411.0,42.0,12.0,1.0,66.0,0.373,0.538,96.0,0,3.0,,221.0,1.0,0,0.0,5.0,,82.38461538461539,87.08600000000001
1974,PL,福岡ソフトバンクホークス,71573841,門田　博光,H.Kadota,124.0,487.0,432.0,62.0,116.0,23.0,4.0,27.0,228.0,76.0,2.0,0,0.0,7.0,47.0,0,1.0,59.0,10.0,0.269,0.337,0.528,0.865,62.0,0.259,0.068,0.5960000000000001,9.650924024640657,12.114989733059549,0.7966101694915254,0.2521246458923513,0.28365,513.0,0.3726851851851852,0.852760736196319,0.269,116.0,27.0,76.0,124.0,487.0,432.0,62.0,23.0,4.0,62.0,0.337,0.528,47.0,0,1.0,,228.0,2.0,0,0.0,7.0,,77.5866388308977,75.832
1974,PL,オリックス・バファローズ,71973822,長池　徳士,T.Nagaike,121.0,485.0,442.0,60.0,128.0,18.0,1.0,27.0,229.0,96.0,7.0,0,0.0,4.0,38.0,0,1.0,38.0,14.0,0.29,0.344,0.518,0.862,82.0,0.22800000000000004,0.05399999999999999,0.5720000000000001,7.835051546391752,7.835051546391752,1.0,0.2650918635170604,0.2843,516.6666666666666,0.33031674208144796,0.8384146341463414,0.29,128.0,27.0,96.0,121.0,485.0,442.0,82.0,18.0,1.0,60.0,0.344,0.518,38.0,0,1.0,,229.0,7.0,0,0.0,4.0,,79.19583333333334,77.238
1974,PL,北海道日本ハムファイターズ,81383824,大下　剛史,T.Ooshita,120.0,514.0,442.0,72.0,109.0,13.0,5.0,5.0,147.0,31.0,7.0,0,16.0,3.0,43.0,0,10.0,21.0,6.0,0.247,0.325,0.333,0.658,86.0,0.08600000000000002,0.07800000000000001,0.411,8.365758754863812,4.085603112840467,2.0476190476190474,0.24821002386634844,0.22950000000000004,436.0,0.19909502262443438,0.6106194690265486,0.247,109.0,5.0,31.0,120.0,514.0,442.0,86.0,13.0,5.0,72.0,0.325,0.333,43.0,0,10.0,,147.0,7.0,0,16.0,3.0,,46.070103092783505,50.876000000000005
