year,league,team,player_id,player_name_ja,player_name_en,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,OBP,SLG,OPS,1B,IsoP,IsoD,IOPS,BB%,K%,BB/K,BABIP,GPA,NOI,SecA,TA,打率,安打,本塁打,打点,試合,打席,打数,単打,二塁打,三塁打,得点,出塁率,長打率,四球,敬遠,死球,三振,塁打,盗塁,盗塁死,犠打,犠飛,併殺打,RC,XR
1976,CL,読売ジャイアンツ,11013825,柴田　勲,I.Shibata,121.0,454.0,395.0,69.0,112.0,24.0,1.0,10.0,168.0,36.0,6.0,0,3.0,3.0,47.0,0,6.0,45.0,1.0,0.284,0.366,0.425,0.7909999999999999,77.0,0.14100000000000001,0.08200000000000002,0.507,10.352422907488986,9.911894273127754,1.0444444444444445,0.29737609329446063,0.27095,507.6666666666667,0.2759493670886076,0.7992957746478874,0.284,112.0,10.0,36.0,121.0,454.0,395.0,77.0,24.0,1.0,69.0,0.366,0.425,47.0,0,6.0,,168.0,6.0,0,3.0,3.0,,60.43438914027149,62.056000000000004
1976,CL,広島東洋カープ,11313840,シェーン,R.Scheinblum,122.0,457.0,417.0,50.0,128.0,21.0,0.0,20.0,209.0,62.0,0.0,0,1.0,6.0,31.0,0,2.0,40.0,14.0,0.307,0.353,0.501,0.854,87.0,0.194,0.045999999999999985,0.5469999999999999,6.783369803063458,8.752735229759299,0.775,0.2975206611570248,0.2841,520.0,0.2685851318944844,0.7986798679867987,0.307,128.0,20.0,62.0,122.0,457.0,417.0,87.0,21.0,0.0,50.0,0.353,0.501,31.0,0,2.0,,209.0,0.0,0,1.0,6.0,,74.17633928571429,69.98799999999999
1976,CL,阪神タイガース,11513849,掛布　雅之,M.Kakefu,122.0,469.0,406.0,69.0,132.0,20.0,7.0,27.0,247.0,83.0,7.0,0,2.0,3.0,54.0,0,4.0,52.0,7.0,0.325,0.407,0.608,1.015,78.0,0.283,0.08199999999999996,0.69,11.513859275053305,11.087420042643924,1.0384615384615385,0.3181818181818182,0.33514999999999995,609.6666666666666,0.43349753694581283,1.1103202846975089,0.325,132.0,27.0,83.0,122.0,469.0,406.0,78.0,20.0,7.0,69.0,0.407,0.608,54.0,0,4.0,,247.0,7.0,0,2.0,3.0,,99.87391304347825,93.108
1976,CL,東京ヤクルトスワローズ,11613843,若松　勉,T.Wakamatsu,127.0,542.0,485.0,80.0,167.0,20.0,4.0,17.0,246.0,70.0,5.0,0,3.0,6.0,43.0,0,5.0,25.0,7.0,0.344,0.399,0.507,0.906,126.0,0.16300000000000003,0.05500000000000005,0.562,7.9335793357933575,4.612546125461255,1.72,0.33407572383073497,0.3063,568.0000000000001,0.2618556701030928,0.92,0.344,167.0,17.0,70.0,127.0,542.0,485.0,126.0,20.0,4.0,80.0,0.399,0.507,43.0,0,5.0,,246.0,5.0,0,3.0,6.0,,97.8409090909091,91.61600000000001
1976,CL,東京ヤクルトスワローズ,11813825,船田　和英,K.Funada,124.0,450.0,411.0,34.0,124.0,10.0,1.0,2.0,142.0,23.0,9.0,0,4.0,4.0,28.0,0,3.0,29.0,18.0,0.302,0.348,0.345,0.693,111.0,0.04299999999999998,0.045999999999999985,0.3909999999999999,6.222222222222222,6.444444444444445,0.9655172413793104,0.3177083333333333,0.24284999999999998,462.99999999999994,0.13381995133819952,0.5967213114754099,0.302,124.0,2.0,23.0,124.0,450.0,411.0,111.0,10.0,1.0,34.0,0.348,0.345,28.0,0,3.0,,142.0,9.0,0,4.0,4.0,,49.16628701594533,50.34400000000001
1976,CL,中日ドラゴンズ,1503829,木俣　達彦,T.Kimata,121.0,430.0,397.0,37.0,120.0,22.0,0.0,14.0,184.0,40.0,1.0,0,0.0,4.0,25.0,0,4.0,47.0,11.0,0.302,0.347,0.463,0.81,84.0,0.16100000000000003,0.044999999999999984,0.508,5.813953488372093,10.930232558139535,0.5319148936170213,0.31176470588235294,0.2719,501.3333333333333,0.22670025188916876,0.7430555555555556,0.302,120.0,14.0,40.0,121.0,430.0,397.0,84.0,22.0,0.0,37.0,0.347,0.463,25.0,0,4.0,,184.0,1.0,0,0.0,4.0,,63.22274881516588,60.604
1976,CL,広島東洋カープ,1503840,G.ホプキンス,G.Hopkins,117.0,491.0,420.0,62.0,138.0,16.0,1.0,20.0,216.0,69.0,3.0,0,1.0,3.0,62.0,0,5.0,30.0,9.0,0.329,0.418,0.514,0.9319999999999999,101.0,0.185,0.08899999999999997,0.603,12.627291242362526,6.109979633401222,2.066666666666667,0.3163538873994638,0.3166,589.3333333333333,0.3404761904761905,0.9828178694158075,0.329,138.0,20.0,69.0,117.0,491.0,420.0,101.0,16.0,1.0,62.0,0.418,0.514,62.0,0,5.0,,216.0,3.0,0,1.0,3.0,,89.6265560165975,86.874
1976,CL,横浜DeNAベイスターズ,21123840,ゲーリー,G.Jestadt,126.0,484.0,437.0,41.0,103.0,22.0,0.0,18.0,179.0,37.0,4.0,0,4.0,2.0,38.0,0,3.0,46.0,7.0,0.236,0.3,0.41,0.71,63.0,0.174,0.064,0.474,7.851239669421488,9.50413223140496,0.8260869565217391,0.22666666666666666,0.2375,436.66666666666663,0.2700228832951945,0.656891495601173,0.236,103.0,18.0,37.0,126.0,484.0,437.0,63.0,22.0,0.0,41.0,0.3,0.41,38.0,0,3.0,,179.0,4.0,0,4.0,2.0,,53.13473684210526,54.778000000000006
1976,CL,阪神タイガース,21923845,中村　勝広,K.Nakamura,128.0,558.0,469.0,85.0,123.0,28.0,5.0,13.0,200.0,35.0,7.0,0,11.0,1.0,74.0,0,3.0,83.0,7.0,0.262,0.366,0.426,0.792,77.0,0.16399999999999998,0.10399999999999998,0.53,13.261648745519713,14.874551971326163,0.891566265060241,0.29411764705882354,0.2712,508.0,0.3368869936034115,0.8045325779036827,0.262,123.0,13.0,35.0,128.0,558.0,469.0,77.0,28.0,5.0,85.0,0.366,0.426,74.0,0,3.0,,200.0,7.0,0,11.0,1.0,,72.55985267034991,75.342
1976,CL,阪神タイガース,31033822,藤田　平,T.Fujita,103.0,433.0,395.0,56.0,110.0,18.0,4.0,12.0,172.0,39.0,4.0,0,1.0,5.0,30.0,0,2.0,23.0,5.0,0.278,0.329,0.435,0.764,76.0,0.15699999999999997,0.05099999999999999,0.486,6.928406466512701,5.311778290993072,1.3043478260869565,0.2684931506849315,0.25680000000000003,474.0,0.2430379746835443,0.7172413793103448,0.278,110.0,12.0,39.0,103.0,433.0,395.0,76.0,18.0,4.0,56.0,0.329,0.435,30.0,0,2.0,,172.0,4.0,0,1.0,5.0,,56.65882352941176,55.75000000000001
1976,CL,読売ジャイアンツ,31233808,張本　勲,I.Harimoto,130.0,574.0,513.0,89.0,182.0,35.0,5.0,22.0,293.0,93.0,5.0,0,1.0,3.0,51.0,0,4.0,44.0,9.0,0.355,0.415,0.571,0.986,120.0,0.21599999999999997,0.06,0.631,8.885017421602788,7.665505226480835,1.1590909090909092,0.35555555555555557,0.3295,605.3333333333333,0.3255360623781676,1.0382352941176471,0.355,182.0,22.0,93.0,130.0,574.0,513.0,120.0,35.0,5.0,89.0,0.415,0.571,51.0,0,4.0,,293.0,5.0,0,1.0,3.0,,121.04432624113475,108.69200000000002
1976,CL,読売ジャイアンツ,31333840,D.ジョンソン,D.Johnson,108.0,431.0,371.0,48.0,102.0,16.0,2.0,26.0,200.0,74.0,1.0,0,1.0,4.0,46.0,0,9.0,62.0,6.0,0.275,0.365,0.539,0.904,58.0,0.264,0.08999999999999997,0.629,10.672853828306264,14.385150812064964,0.7419354838709677,0.26480836236933797,0.29900000000000004,544.6666666666666,0.3908355795148248,0.9309090909090909,0.275,102.0,26.0,74.0,108.0,431.0,371.0,58.0,16.0,2.0,48.0,0.365,0.539,46.0,0,9.0,,200.0,1.0,0,1.0,4.0,,70.9832134292566,72.00800000000001
1976,CL,中日ドラゴンズ,31633841,谷沢　健一,K.Yazawa,127.0,547.0,496.0,66.0,176.0,36.0,1.0,11.0,247.0,52.0,3.0,0,4.0,6.0,37.0,0,4.0,51.0,9.0,0.355,0.4,0.498,0.898,128.0,0.14300000000000002,0.04500000000000004,0.543,6.764168190127971,9.323583180987203,0.7254901960784313,0.375,0.3045,566.0000000000001,0.22379032258064516,0.8844984802431611,0.355,176.0,11.0,52.0,127.0,547.0,496.0,128.0,36.0,1.0,66.0,0.4,0.498,37.0,0,4.0,,247.0,3.0,0,4.0,6.0,,98.70731707317073,89.51000000000002
