year,league,team,player_id,player_name_ja,player_name_en,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SH,SF,BB,IBB,HBP,SO,GDP,AVG,OBP,SLG,OPS,1B,IsoP,IsoD,IOPS,BB%,K%,BB/K,BABIP,GPA,NOI,SecA,TA
2025,CL,広島東洋カープ,1705138,小園　海斗,K.Kozono,138.0,573.0,521.0,51.0,161.0,24.0,4.0,3.0,202.0,47.0,7.0,0,3.0,2.0,42.0,0,5.0,47.0,9.0,0.309,0.365,0.388,0.753,130.0,0.079,0.0559999999999999,0.444,0.0732984293193717,0.0820244328097731,0.8936170212765957,0.3340380549682875,0.26125,494.3333333333333,0.182341650671785,0.6937669376693767
2025,CL,阪神タイガース,21325134,大山　悠輔,Y.Ooyama,141.0,587.0,503.0,52.0,133.0,25.0,1.0,13.0,199.0,75.0,3.0,0,0.0,4.0,74.0,0,6.0,96.0,16.0,0.264,0.363,0.396,0.759,94.0,0.132,0.0989999999999999,0.495,0.1260647359454855,0.1635434412265758,0.7708333333333334,0.3015075376884422,0.2623499999999999,495.0,0.2962226640159046,0.7305699481865285
2025,CL,東京ヤクルトスワローズ,23525153,J.オスナ,J.Osuna,141.0,574.0,528.0,38.0,135.0,22.0,0.0,14.0,199.0,67.0,1.0,0,0.0,5.0,40.0,0,1.0,76.0,13.0,0.256,0.307,0.377,0.684,99.0,0.121,0.0509999999999999,0.428,0.0696864111498257,0.1324041811846689,0.5263157894736842,0.27313769751693,0.2324,432.6666666666666,0.2007575757575757,0.5935960591133005
2025,CL,阪神タイガース,41045153,佐藤　輝明,T.Satou,139.0,597.0,537.0,83.0,149.0,34.0,4.0,40.0,311.0,102.0,2.0,0,0.0,3.0,57.0,0,0.0,163.0,5.0,0.277,0.345,0.579,0.924,71.0,0.3019999999999999,0.0679999999999999,0.6469999999999999,0.0954773869346733,0.2730318257956449,0.3496932515337423,0.3234421364985163,0.3,537.9999999999999,0.4115456238361266,0.9414758269720102
2025,CL,阪神タイガース,41445153,中野　拓夢,T.Nakano,143.0,625.0,531.0,65.0,150.0,18.0,3.0,0.0,174.0,30.0,7.0,0,44.0,3.0,44.0,0,3.0,77.0,5.0,0.282,0.339,0.328,0.667,129.0,0.046,0.057,0.385,0.0704,0.1232,0.5714285714285714,0.3282275711159737,0.23455,448.33333333333337,0.1468926553672316,0.5906735751295337
2025,CL,阪神タイガース,43145157,森下　翔太,S.Morishita,143.0,620.0,549.0,82.0,151.0,24.0,5.0,23.0,254.0,89.0,2.0,0,0.0,5.0,54.0,0,12.0,86.0,15.0,0.275,0.35,0.463,0.813,99.0,0.188,0.0749999999999999,0.538,0.0870967741935483,0.1387096774193548,0.627906976744186,0.2876404494382023,0.27325,504.3333333333333,0.3114754098360656,0.7796610169491526
2025,CL,広島東洋カープ,51055155,末包　昇大,S.Suekane,123.0,477.0,437.0,40.0,106.0,18.0,3.0,11.0,163.0,62.0,3.0,0,0.0,5.0,33.0,0,2.0,97.0,6.0,0.243,0.296,0.373,0.669,74.0,0.13,0.0529999999999999,0.426,0.0691823899371069,0.2033542976939203,0.3402061855670103,0.2844311377245509,0.2264499999999999,420.3333333333333,0.217391304347826,0.5964391691394659
2025,CL,横浜DeNAベイスターズ,51755135,桑原　将志,M.Kuwahara,106.0,447.0,398.0,48.0,113.0,17.0,2.0,6.0,152.0,27.0,0.0,0,10.0,0.0,30.0,0,9.0,59.0,5.0,0.284,0.348,0.382,0.73,88.0,0.098,0.064,0.446,0.0671140939597315,0.1319910514541387,0.5084745762711864,0.3213213213213213,0.2521,475.33333333333326,0.1959798994974874,0.6586206896551724
2025,CL,読売ジャイアンツ,61165159,泉口　友汰,Y.Izuguchi,133.0,573.0,512.0,67.0,154.0,23.0,3.0,6.0,201.0,39.0,5.0,0,7.0,3.0,47.0,0,4.0,60.0,8.0,0.301,0.362,0.393,0.755,122.0,0.092,0.061,0.454,0.0820244328097731,0.1047120418848167,0.7833333333333333,0.3296213808463251,0.26115,493.0,0.201171875,0.7021857923497268
2025,CL,阪神タイガース,71075138,近本　光司,K.Chikamoto,140.0,638.0,573.0,76.0,160.0,25.0,4.0,3.0,202.0,34.0,9.0,0,0.0,3.0,60.0,0,2.0,88.0,3.0,0.279,0.348,0.353,0.701,128.0,0.0739999999999999,0.0689999999999999,0.4219999999999999,0.0940438871473354,0.1379310344827586,0.6818181818181818,0.3237113402061856,0.2448499999999999,465.6666666666666,0.1972076788830715,0.65625
