year,league,team,player_id,player_name_ja,player_name_en,ERA,K-BB%,WHIP,W,L,G,IP,SV,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,K%,BB%,WP,BK
1951,CL,読売ジャイアンツ,41743801,大友　工,,0.2,-12.8,1.83,11,4,29,137.2,,556,137,0,114,,11,43,3,1,,,3,0,0.733,7.7,20.5,3,51
1951,CL,読売ジャイアンツ,11313803,兼吉　寛,,0.0,-3.3,1.79,0,0,12,28.0,,120,28,,22,,1,18,0,0,,,0,0,0.0,15.0,18.3,1,12
1951,CL,読売ジャイアンツ,71373893,多田　文久三,,0.0,-5.9,3.33,0,0,3,2.1,,17,2,0,5,,0,4,0,0,,,0,0,0.0,23.5,29.4,1,1
1951,CL,読売ジャイアンツ,01703878,中尾　碩志,,0.14,-16.1,1.95,9,6,29,130.1,,541,130,0,124,,8,37,2,0,,,4,0,0.6,6.8,22.9,0,60
1951,CL,読売ジャイアンツ,81783895,藤本　英雄,,0.04,-18.0,1.92,15,7,31,206.1,,822,206,0,189,,7,41,1,1,,,16,3,0.682,5.0,23.0,3,88
1951,CL,読売ジャイアンツ,31933895,別所　毅彦,,0.0,-13.4,1.84,21,9,47,301.1,,1222,301,0,252,,15,88,0,3,,,25,4,0.7,7.2,20.6,1,131
1951,CL,読売ジャイアンツ,03203801,松田　清,,0.08,-13.6,1.82,23,3,34,227.2,,896,227,0,186,,5,64,2,3,,,15,4,0.885,7.1,20.8,5,93
1951,CL,阪神タイガース,91193896,内山　清,,0.0,-16.8,1.96,10,5,42,159.0,,656,159,,153,,18,43,0,0,,,3,0,0.667,6.6,23.3,5,33
1951,CL,阪神タイガース,31333894,梶岡　忠義,,0.0,-19.0,2.11,13,7,35,180.1,,775,180,0,200,,17,53,0,2,,,10,1,0.65,6.8,25.8,6,62
1951,CL,阪神タイガース,51353803,河　文雄,,0.0,-12.3,1.99,1,1,11,27.1,,122,27,0,27,,1,12,0,0,,,1,0,0.5,9.8,22.1,3,3
1951,CL,阪神タイガース,01303898,駒田　桂二,,0.0,-15.2,1.95,11,13,45,227.2,,955,227,0,217,,14,72,0,2,,,10,1,0.458,7.5,22.7,1,86
1951,CL,阪神タイガース,61363898,田宮　謙次郎,,0.89,-31.5,2.97,0,1,5,10.1,,54,10,0,20,,0,3,1,0,,,0,0,0.0,5.6,37.0,0,0
1951,CL,阪神タイガース,41543803,竹元　勝雄,,0.0,-23.1,2.73,0,0,1,2.2,,13,2,0,4,,0,1,0,0,,,0,0,0.0,7.7,30.8,0,0
1951,CL,阪神タイガース,71173803,西村　修,,0.0,-8.0,1.76,4,3,14,68.1,,274,68,0,52,,1,30,0,2,,,3,1,0.571,10.9,19.0,1,19
1951,CL,阪神タイガース,23123872,藤村　富美男,,0.0,7.7,1.0,1,0,1,4.0,,13,4,,0,,0,1,0,0,,,0,0,1.0,7.7,0.0,0,1
1951,CL,阪神タイガース,81783891,藤村　隆男,,0.11,-14.1,1.88,16,16,49,253.0,,1029,253,,222,,14,77,3,8,,,18,3,0.5,7.5,21.6,5,74
1951,CL,阪神タイガース,21123803,深見　吉夫,,0.0,-26.7,2.09,1,0,4,11.0,,45,11,,12,,0,0,0,1,,,0,0,1.0,0.0,26.7,0,1
1951,CL,阪神タイガース,83083801,干場　一夫,,0.0,-14.6,2.02,4,6,27,81.1,,350,81,0,83,,15,32,0,0,,,2,0,0.4,9.1,23.7,3,14
1951,CL,阪神タイガース,53553872,御園生　崇男,,0.0,-27.5,2.68,0,0,3,7.1,,40,7,0,12,,1,1,0,0,,,0,0,0.0,2.5,30.0,0,1
1951,CL,松竹ロビンス,01103878,井筒　研一,,0.24,-17.8,2.11,0,3,27,112.0,,489,112,,124,,16,37,3,1,,,2,0,0.0,7.6,25.4,2,27
1951,CL,松竹ロビンス,61163894,岩本　信一,,0.0,-15.9,2.16,4,5,15,65.2,,290,65,0,76,,6,30,0,2,,,4,0,0.444,10.3,26.2,1,14
1951,CL,松竹ロビンス,71173893,江田　貢一,,0.3,-18.3,2.02,4,8,28,151.2,,639,151,0,155,,13,38,5,0,,,5,1,0.333,5.9,24.3,3,29
1951,CL,松竹ロビンス,21723801,大島　信雄,,0.04,-17.0,1.98,15,13,36,216.2,,905,216,0,211,,13,57,1,2,,,13,2,0.536,6.3,23.3,1,61
1951,CL,松竹ロビンス,61363896,小林　恒夫,,0.06,-14.6,2.05,18,15,55,293.0,,1285,293,,307,,25,120,2,10,,,14,3,0.545,9.3,23.9,8,108
1951,CL,松竹ロビンス,51353897,真田　重男,,0.0,-20.3,2.17,7,6,24,94.2,,418,94,0,110,,15,25,0,0,,,1,1,0.538,6.0,26.3,0,33
1951,CL,松竹ロビンス,21323898,島本　和夫,,0.0,-11.9,2.15,0,3,14,34.0,,159,34,,39,,4,20,0,0,,,0,0,0.0,12.6,24.5,1,9
1951,CL,松竹ロビンス,23923801,林　茂,,0.17,-4.9,2.11,5,4,19,53.1,,264,53,0,59,,4,46,1,1,,,1,1,0.556,17.4,22.3,1,26
1951,CL,松竹ロビンス,41743898,宮沢　基一郎,,0.35,-17.4,2.12,0,3,9,26.0,,115,26,,29,,3,9,1,0,,,0,0,0.0,7.8,25.2,2,8
1951,CL,大洋ホエールズ,01103892,今西　錬太郎,,0.12,-16.0,2.35,2,7,24,74.2,,363,74,0,100,,11,42,1,0,,,1,0,0.222,11.6,27.5,1,17
1951,CL,大洋ホエールズ,11913801,荻原　隆,,0.11,-20.4,2.18,6,9,35,159.2,,681,159,0,188,,14,49,2,0,,,2,0,0.4,7.2,27.6,3,41
1951,CL,大洋ホエールズ,11313896,片山　博,,0.0,-21.1,2.38,3,13,29,117.2,,545,117,0,162,,14,47,0,2,,,1,0,0.188,8.6,29.7,5,40
1951,CL,大洋ホエールズ,41043801,川口　芳弘,,0.0,-4.4,2.35,0,1,9,17.0,,90,17,,23,,1,19,0,0,,,0,0,0.0,21.1,25.6,1,6
1951,CL,大洋ホエールズ,91593803,酒井　豪久,,0.0,9.1,2.0,0,0,2,2.0,,11,2,,2,,1,3,0,1,,,0,0,0.0,27.3,18.2,0,1
1951,CL,大洋ホエールズ,01703892,高野　裕良,,0.0,-19.5,2.18,11,15,41,250.2,,1110,250,0,295,,27,79,0,3,,,17,0,0.423,7.1,26.6,10,80
1951,CL,大洋ホエールズ,61563803,種田　弘,,0.74,-14.5,2.31,0,4,11,24.2,,124,24,0,32,,3,14,2,0,,,0,0,0.0,11.3,25.8,0,8
1951,CL,大洋ホエールズ,13513801,寺島　公,,0.0,-21.9,2.82,0,1,11,18.1,,96,18,0,33,,2,12,0,1,,,0,0,0.0,12.5,34.4,0,4
1951,CL,大洋ホエールズ,21523898,中津　正三,,4.0,-20.0,,0,0,1,0.0,,5,,0,3,,0,2,0,0,,,0,0,0.0,40.0,60.0,0,0
1951,CL,大洋ホエールズ,81983892,林　直明,,0.0,-20.4,2.0,16,11,36,227.1,,936,227,0,227,,10,36,0,0,,,17,3,0.593,3.8,24.3,0,35
1951,CL,大洋ホエールズ,53253801,本間　鉄和,,0.81,-11.3,2.26,1,2,6,22.1,,106,22,0,28,,1,16,2,0,,,0,0,0.333,15.1,26.4,1,2
1951,CL,大洋ホエールズ,51753897,丸山　二三雄,,0.0,-21.4,2.94,0,1,4,5.1,,28,5,0,10,,1,4,0,0,,,0,0,0.0,14.3,35.7,0,0
1951,CL,大洋ホエールズ,61563893,渡辺　誠太郎,,0.0,-10.5,2.17,1,0,9,24.0,,114,24,,28,,3,16,0,1,,,0,0,1.0,14.0,24.6,0,5
1951,CL,広島東洋カープ,91393801,石川　清逸,,0.0,-20.0,2.26,0,7,24,107.0,,480,107,,135,,10,39,0,0,,,1,0,0.0,8.1,28.1,1,21
1951,CL,広島東洋カープ,41343801,市田　夏生,,0.0,-12.1,2.23,1,2,8,22.0,,107,22,,27,,2,14,0,1,,,0,0,0.333,13.1,25.2,2,4
1951,CL,広島東洋カープ,41143803,石黒　忠,,0.0,-19.0,2.75,0,0,1,4.0,,21,4,,7,,0,3,0,0,,,0,0,0.0,14.3,33.3,0,1
1951,CL,広島東洋カープ,31533874,笠松　実,,0.0,-22.2,2.21,5,15,36,180.0,,796,180,,218,,6,41,0,1,,,9,0,0.25,5.2,27.4,2,39
1951,CL,広島東洋カープ,01503803,杉浦　竜太郎,,0.0,-16.5,2.04,6,14,34,191.1,,818,191,0,198,,12,63,0,0,,,14,0,0.3,7.7,24.2,0,31
1951,CL,広島東洋カープ,81483872,内藤　幸三,,0.45,-16.2,2.35,1,4,5,20.0,,99,20,,27,,1,11,1,1,,,1,0,0.2,11.1,27.3,1,3
