year,league,team,player_id,player_name_ja,player_name_en,ERA,K-BB%,WHIP,W,L,G,IP,SV,BF,H,HR,BB,IBB,HBP,SO,ER,R,HOLD,HP,CG,SHO,WPCT,K%,BB%,WP,BK
1961,PL,阪急ブレーブス,91193802,秋本　祐作,,0.0,-18.8,2.01,6,10,44,161.0,,669,161,,163,,9,37,0,0,,,3,0,0.375,5.5,24.4,2,81
1961,PL,阪急ブレーブス,51153808,安藤　治久,,0.0,-17.7,2.01,6,7,47,153.1,,639,153,0,154,,7,41,0,1,,,2,1,0.462,6.4,24.1,3,97
1961,PL,阪急ブレーブス,71173808,足立　光宏,,0.0,-22.5,2.15,1,4,27,62.0,,267,62,,71,,7,11,0,0,,,0,0,0.2,4.1,26.6,2,37
1961,PL,阪急ブレーブス,31133823,安藤　英志,,0.0,-29.0,3.27,0,1,4,5.2,,31,5,0,12,,1,3,0,0,,,0,0,0.0,9.7,38.7,0,3
1961,PL,阪急ブレーブス,41143806,石井　茂雄,,0.0,-20.2,2.18,1,1,11,26.2,,119,26,0,31,,5,7,0,1,,,0,0,0.5,5.9,26.1,0,9
1961,PL,阪急ブレーブス,91793809,梶本　隆夫,,0.0,-18.6,1.97,17,23,54,269.2,,1105,269,0,261,,25,56,0,1,,,17,3,0.425,5.1,23.6,2,141
1961,PL,阪急ブレーブス,01303804,梶本　靖郎,,0.0,-13.6,1.8,1,1,15,42.2,,169,42,0,34,,3,11,0,0,,,0,0,0.5,6.5,20.1,0,29
1961,PL,阪急ブレーブス,51753823,佐藤　公博,,0.07,-13.7,1.85,4,7,47,135.1,,549,135,0,115,,14,40,1,2,,,1,1,0.364,7.3,20.9,7,94
1961,PL,阪急ブレーブス,61563803,種田　弘,,0.0,-22.6,2.29,0,1,9,14.0,,62,14,,18,,1,4,0,0,,,0,0,0.0,6.5,29.0,0,6
1961,PL,阪急ブレーブス,71073804,西田　稔,,0.0,-20.0,2.5,0,0,1,2.0,,10,2,,3,,1,1,0,0,,,0,0,0.0,10.0,30.0,1,1
1961,PL,阪急ブレーブス,11213806,牧田　政彦,,0.0,-6.5,1.92,0,2,25,51.1,,232,51,0,47,,5,32,0,4,,,0,0,0.0,13.8,20.3,4,34
1961,PL,阪急ブレーブス,71473823,牧野　宏,,0.0,-22.7,2.44,1,5,11,34.0,,163,34,,49,,5,12,0,0,,,0,0,0.167,7.4,30.1,1,16
1961,PL,阪急ブレーブス,83183802,米田　哲也,,0.0,-18.4,2.02,16,22,56,275.2,,1151,275,0,282,,27,70,0,1,,,12,1,0.421,6.1,24.5,8,188
1961,PL,南海ホークス,51053800,後藤　修,,0.0,-13.2,1.91,5,6,36,93.0,,386,93,,85,,11,34,0,3,,,1,0,0.455,8.8,22.0,2,88
1961,PL,南海ホークス,01703806,杉浦　忠,,0.0,-18.1,1.84,20,9,53,241.2,,946,241,0,202,,24,31,0,1,,,12,1,0.69,3.3,21.4,10,190
1961,PL,南海ホークス,91793821,Ｊ．スタンカ,,0.0,-14.2,1.9,15,11,41,231.1,,945,231,0,208,,11,74,0,12,,,9,2,0.577,7.8,22.0,7,176
