year,unique_source_urls,url_count
1936,"[""https://npb.jp/bis/yearly/yakyuremmei_1936f.html"", ""https://npb.jp/bis/yearly/yakyuremmei_1936s.html""]",2
1937,"[""https://npb.jp/bis/yearly/yakyuremmei_1937f.html"", ""https://npb.jp/bis/yearly/yakyuremmei_1937s.html""]",2
1938,"[""https://npb.jp/bis/yearly/yakyuremmei_1938f.html"", ""https://npb.jp/bis/yearly/yakyuremmei_1938s.html""]",2
1939,"[""https://npb.jp/bis/yearly/yakyuremmei_1939.html""]",1
1940,"[""https://npb.jp/bis/yearly/yakyuremmei_1940.html""]",1
1941,"[""https://npb.jp/bis/yearly/yakyuremmei_1941.html""]",1
1942,"[""https://npb.jp/bis/yearly/yakyuremmei_1942.html""]",1
1943,"[""https://npb.jp/bis/yearly/yakyuremmei_1943.html""]",1
1944,"[""https://npb.jp/bis/yearly/yakyuremmei_1944.html""]",1
1946,"[""https://npb.jp/bis/yearly/yakyuremmei_1946.html""]",1
1947,"[""https://npb.jp/bis/yearly/yakyuremmei_1947.html""]",1
1948,"[""https://npb.jp/bis/yearly/yakyuremmei_1948.html""]",1
1949,"[""https://npb.jp/bis/yearly/yakyuremmei_1949.html""]",1
