identifier,player_id,player_name_ja,team
ボスラー::中日ドラゴンズ,,ボスラー,中日ドラゴンズ
ネビン::埼玉西武ライオンズ,,ネビン,埼玉西武ライオンズ
ファビアン::広島東洋カープ,,ファビアン,広島東洋カープ
上林　誠知::中日ドラゴンズ,,上林　誠知,中日ドラゴンズ
中野　拓夢::阪神タイガース,,中野　拓夢,阪神タイガース
佐藤　輝明::阪神タイガース,,佐藤　輝明,阪神タイガース
大山　悠輔::阪神タイガース,,大山　悠輔,阪神タイガース
小園　海斗::広島東洋カープ,,小園　海斗,広島東洋カープ
岡林　勇希::中日ドラゴンズ,,岡林　勇希,中日ドラゴンズ
末包　昇大::広島東洋カープ,,末包　昇大,広島東洋カープ
森下　翔太::阪神タイガース,,森下　翔太,阪神タイガース
近本　光司::阪神タイガース,,近本　光司,阪神タイガース
キャベッジ::読売ジャイアンツ,,キャベッジ,読売ジャイアンツ
吉川　尚輝::読売ジャイアンツ,,吉川　尚輝,読売ジャイアンツ
泉口　友汰::読売ジャイアンツ,,泉口　友汰,読売ジャイアンツ
オスナ::東京ヤクルトスワローズ,,オスナ,東京ヤクルトスワローズ
渡部　聖弥::埼玉西武ライオンズ,,渡部　聖弥,埼玉西武ライオンズ
西川　愛也::埼玉西武ライオンズ,,西川　愛也,埼玉西武ライオンズ
寺地　隆成::千葉ロッテマリーンズ,,寺地　隆成,千葉ロッテマリーンズ
藤原　恭大::千葉ロッテマリーンズ,,藤原　恭大,千葉ロッテマリーンズ
西川　史礁::千葉ロッテマリーンズ,,西川　史礁,千葉ロッテマリーンズ
長谷川　信哉::埼玉西武ライオンズ,,長谷川　信哉,埼玉西武ライオンズ
内山　壮真::東京ヤクルトスワローズ,,内山　壮真,東京ヤクルトスワローズ
太田　椋::オリックス・バファローズ,,太田　椋,オリックス・バファローズ
柳町　達::福岡ソフトバンクホークス,,柳町　達,福岡ソフトバンクホークス
レイエス::北海道日本ハムファイターズ,,レイエス,北海道日本ハムファイターズ
中川　圭太::オリックス・バファローズ,,中川　圭太,オリックス・バファローズ
佐野　恵太::横浜DeNAベイスターズ,,佐野　恵太,横浜DeNAベイスターズ
山川　穂高::福岡ソフトバンクホークス,,山川　穂高,福岡ソフトバンクホークス
廣岡　大志::オリックス・バファローズ,,廣岡　大志,オリックス・バファローズ
桑原　将志::横浜DeNAベイスターズ,,桑原　将志,横浜DeNAベイスターズ
牧原　大成::福岡ソフトバンクホークス,,牧原　大成,福岡ソフトバンクホークス
頓宮　裕真::オリックス・バファローズ,,頓宮　裕真,オリックス・バファローズ
万波　中正::北海道日本ハムファイターズ,,万波　中正,北海道日本ハムファイターズ
宗山　塁::東北楽天ゴールデンイーグルス,,宗山　塁,東北楽天ゴールデンイーグルス
杉本　裕太郎::オリックス・バファローズ,,杉本　裕太郎,オリックス・バファローズ
紅林　弘太郎::オリックス・バファローズ,,紅林　弘太郎,オリックス・バファローズ
中島　大輔::東北楽天ゴールデンイーグルス,,中島　大輔,東北楽天ゴールデンイーグルス
村林　一輝::東北楽天ゴールデンイーグルス,,村林　一輝,東北楽天ゴールデンイーグルス
清宮　幸太郎::北海道日本ハムファイターズ,,清宮　幸太郎,北海道日本ハムファイターズ
