ファイルパス,列名
batting_1936_PRE_from_master.csv,year
batting_1936_PRE_from_master.csv,league
batting_1936_PRE_from_master.csv,team
batting_1936_PRE_from_master.csv,player_id
batting_1936_PRE_from_master.csv,player_name_ja
batting_1936_PRE_from_master.csv,player_name_en
batting_1936_PRE_from_master.csv,G
batting_1936_PRE_from_master.csv,PA
batting_1936_PRE_from_master.csv,AB
batting_1936_PRE_from_master.csv,R
batting_1936_PRE_from_master.csv,H
batting_1936_PRE_from_master.csv,2B
batting_1936_PRE_from_master.csv,3B
batting_1936_PRE_from_master.csv,HR
batting_1936_PRE_from_master.csv,TB
batting_1936_PRE_from_master.csv,RBI
batting_1936_PRE_from_master.csv,SB
batting_1936_PRE_from_master.csv,CS
batting_1936_PRE_from_master.csv,SH
batting_1936_PRE_from_master.csv,SF
batting_1936_PRE_from_master.csv,BB
batting_1936_PRE_from_master.csv,IBB
batting_1936_PRE_from_master.csv,HBP
batting_1936_PRE_from_master.csv,SO
batting_1936_PRE_from_master.csv,GDP
batting_1936_PRE_from_master.csv,AVG
batting_1936_PRE_from_master.csv,OBP
batting_1936_PRE_from_master.csv,SLG
batting_1936_PRE_from_master.csv,OPS
batting_1936_PRE_from_master.csv,1B
batting_1936_PRE_from_master.csv,IsoP
batting_1936_PRE_from_master.csv,IsoD
batting_1936_PRE_from_master.csv,IOPS
batting_1936_PRE_from_master.csv,BB%
batting_1936_PRE_from_master.csv,K%
batting_1936_PRE_from_master.csv,BB/K
batting_1936_PRE_from_master.csv,BABIP
batting_1936_PRE_from_master.csv,GPA
batting_1936_PRE_from_master.csv,NOI
batting_1936_PRE_from_master.csv,SecA
batting_1936_PRE_from_master.csv,TA
batting_1936_PRE_from_master.csv,player_name
batting_1936_PRE_from_master.csv,raw_team_name
batting_1936_PRE_from_master.csv,所属球団
batting_1936_PRE_from_master.csv,試合
batting_1936_PRE_from_master.csv,打席
batting_1936_PRE_from_master.csv,打数
batting_1936_PRE_from_master.csv,得点
batting_1936_PRE_from_master.csv,安打
batting_1936_PRE_from_master.csv,二塁打
batting_1936_PRE_from_master.csv,三塁打
batting_1936_PRE_from_master.csv,本塁打
batting_1936_PRE_from_master.csv,塁打
batting_1936_PRE_from_master.csv,打点
batting_1936_PRE_from_master.csv,盗塁
batting_1936_PRE_from_master.csv,盗塁刺
batting_1936_PRE_from_master.csv,犠打
batting_1936_PRE_from_master.csv,犠飛
batting_1936_PRE_from_master.csv,四球
batting_1936_PRE_from_master.csv,死球
batting_1936_PRE_from_master.csv,三振
batting_1936_PRE_from_master.csv,併殺打
batting_1936_PRE_from_master.csv,打率
batting_1936_PRE_from_master.csv,長打率
batting_1936_PRE_from_master.csv,出塁率
batting_1937_PRE_from_master.csv,year
batting_1937_PRE_from_master.csv,league
batting_1937_PRE_from_master.csv,team
batting_1937_PRE_from_master.csv,player_id
batting_1937_PRE_from_master.csv,player_name_ja
batting_1937_PRE_from_master.csv,player_name_en
batting_1937_PRE_from_master.csv,G
batting_1937_PRE_from_master.csv,PA
batting_1937_PRE_from_master.csv,AB
batting_1937_PRE_from_master.csv,R
batting_1937_PRE_from_master.csv,H
batting_1937_PRE_from_master.csv,2B
batting_1937_PRE_from_master.csv,3B
batting_1937_PRE_from_master.csv,HR
batting_1937_PRE_from_master.csv,TB
batting_1937_PRE_from_master.csv,RBI
batting_1937_PRE_from_master.csv,SB
batting_1937_PRE_from_master.csv,CS
batting_1937_PRE_from_master.csv,SH
batting_1937_PRE_from_master.csv,SF
batting_1937_PRE_from_master.csv,BB
batting_1937_PRE_from_master.csv,IBB
batting_1937_PRE_from_master.csv,HBP
batting_1937_PRE_from_master.csv,SO
batting_1937_PRE_from_master.csv,GDP
batting_1937_PRE_from_master.csv,AVG
batting_1937_PRE_from_master.csv,OBP
batting_1937_PRE_from_master.csv,SLG
batting_1937_PRE_from_master.csv,OPS
batting_1937_PRE_from_master.csv,1B
batting_1937_PRE_from_master.csv,IsoP
batting_1937_PRE_from_master.csv,IsoD
batting_1937_PRE_from_master.csv,IOPS
batting_1937_PRE_from_master.csv,BB%
batting_1937_PRE_from_master.csv,K%
batting_1937_PRE_from_master.csv,BB/K
batting_1937_PRE_from_master.csv,BABIP
batting_1937_PRE_from_master.csv,GPA
batting_1937_PRE_from_master.csv,NOI
batting_1937_PRE_from_master.csv,SecA
batting_1937_PRE_from_master.csv,TA
batting_1937_PRE_from_master.csv,player_name
batting_1937_PRE_from_master.csv,raw_team_name
batting_1937_PRE_from_master.csv,所属球団
batting_1937_PRE_from_master.csv,試合
batting_1937_PRE_from_master.csv,打席
batting_1937_PRE_from_master.csv,打数
batting_1937_PRE_from_master.csv,得点
batting_1937_PRE_from_master.csv,安打
batting_1937_PRE_from_master.csv,二塁打
batting_1937_PRE_from_master.csv,三塁打
batting_1937_PRE_from_master.csv,本塁打
batting_1937_PRE_from_master.csv,塁打
batting_1937_PRE_from_master.csv,打点
batting_1937_PRE_from_master.csv,盗塁
batting_1937_PRE_from_master.csv,盗塁刺
batting_1937_PRE_from_master.csv,犠打
batting_1937_PRE_from_master.csv,犠飛
batting_1937_PRE_from_master.csv,四球
batting_1937_PRE_from_master.csv,死球
batting_1937_PRE_from_master.csv,三振
batting_1937_PRE_from_master.csv,併殺打
batting_1937_PRE_from_master.csv,打率
batting_1937_PRE_from_master.csv,長打率
batting_1937_PRE_from_master.csv,出塁率
