year,league,player_name,duplicate_count,entry_index,team,playerId,romanName,metric,rank,value,source_file
1985,CL,高木 豊,2,1,横浜DeNAベイスターズ,player-4,,BABIP,4,0.336,BABIP.json
1985,CL,高木 豊,2,2,横浜ベイスターズ,player-5,,BABIP,5,0.336,BABIP.json
1985,CL,屋鋪 要,2,1,横浜DeNAベイスターズ,player-6,,BABIP,6,0.333,BABIP.json
1985,CL,屋鋪 要,2,2,横浜ベイスターズ,player-7,,BABIP,7,0.333,BABIP.json
1985,CL,加藤 博一,2,1,横浜DeNAベイスターズ,player-11,,BABIP,11,0.317,BABIP.json
1985,CL,加藤 博一,2,2,横浜ベイスターズ,player-12,,BABIP,12,0.317,BABIP.json
1985,CL,レオン,2,1,横浜DeNAベイスターズ,player-20,,BABIP,20,0.302,BABIP.json
1985,CL,レオン,2,2,横浜ベイスターズ,player-21,,BABIP,21,0.302,BABIP.json
1985,CL,田代 富雄,2,1,横浜DeNAベイスターズ,player-28,,BABIP,28,0.284,BABIP.json
1985,CL,田代 富雄,2,2,横浜ベイスターズ,player-29,,BABIP,29,0.284,BABIP.json
1985,CL,若菜 嘉晴,2,1,横浜DeNAベイスターズ,player-32,,BABIP,32,0.277,BABIP.json
1985,CL,若菜 嘉晴,2,2,横浜ベイスターズ,player-33,,BABIP,33,0.277,BABIP.json
1986,CL,高木 豊,2,1,横浜DeNAベイスターズ,player-2,,BABIP,2,0.368,BABIP.json
1986,CL,高木 豊,2,2,横浜ベイスターズ,player-3,,BABIP,3,0.368,BABIP.json
1986,CL,C.ポンセ,2,1,横浜DeNAベイスターズ,player-6,,BABIP,6,0.322,BABIP.json
1986,CL,C.ポンセ,2,2,横浜ベイスターズ,player-7,,BABIP,7,0.322,BABIP.json
1986,CL,若菜 嘉晴,2,1,横浜DeNAベイスターズ,player-10,,BABIP,10,0.314,BABIP.json
1986,CL,若菜 嘉晴,2,2,横浜ベイスターズ,player-11,,BABIP,11,0.314,BABIP.json
1986,CL,D.ローマン,2,1,横浜DeNAベイスターズ,player-18,,BABIP,18,0.304,BABIP.json
1986,CL,D.ローマン,2,2,横浜ベイスターズ,player-19,,BABIP,19,0.304,BABIP.json
1986,CL,屋鋪 要,2,1,横浜DeNAベイスターズ,player-29,,BABIP,29,0.274,BABIP.json
1986,CL,屋鋪 要,2,2,横浜ベイスターズ,player-30,,BABIP,30,0.274,BABIP.json
