year,league,metric,player_name,rank,playerId,team,file
1973,PL,BABIP,福富 邦夫,6,player-6,埼玉西武ライオンズ,public\data\rankings\1973\PL\BABIP.json
1973,PL,BABIP,基 満男,8,player-8,埼玉西武ライオンズ,public\data\rankings\1973\PL\BABIP.json
1973,PL,BABIP,菊川 昭二郎,14,player-14,埼玉西武ライオンズ,public\data\rankings\1973\PL\BABIP.json
1973,PL,BABIP,梅田 邦三,17,player-17,埼玉西武ライオンズ,public\data\rankings\1973\PL\BABIP.json
1973,PL,BABIP,東田 正義,29,player-29,埼玉西武ライオンズ,public\data\rankings\1973\PL\BABIP.json
1973,PL,BABIP,D.ビュフォード,32,player-32,埼玉西武ライオンズ,public\data\rankings\1973\PL\BABIP.json
1973,PL,BABIP,竹之内 雅史,36,player-36,埼玉西武ライオンズ,public\data\rankings\1973\PL\BABIP.json
1973,PL,BABIP__qualified,福富 邦夫,6,player-6,埼玉西武ライオンズ,public\data\rankings\1973\PL\BABIP__qualified.json
1973,PL,BABIP__qualified,基 満男,8,player-8,埼玉西武ライオンズ,public\data\rankings\1973\PL\BABIP__qualified.json
1973,PL,BABIP__qualified,菊川 昭二郎,14,player-14,埼玉西武ライオンズ,public\data\rankings\1973\PL\BABIP__qualified.json
1973,PL,BABIP__qualified,梅田 邦三,17,player-17,埼玉西武ライオンズ,public\data\rankings\1973\PL\BABIP__qualified.json
1973,PL,BABIP__qualified,東田 正義,29,player-29,埼玉西武ライオンズ,public\data\rankings\1973\PL\BABIP__qualified.json
1973,PL,BABIP__qualified,D.ビュフォード,32,player-32,埼玉西武ライオンズ,public\data\rankings\1973\PL\BABIP__qualified.json
1973,PL,BABIP__qualified,竹之内 雅史,36,player-36,埼玉西武ライオンズ,public\data\rankings\1973\PL\BABIP__qualified.json
1973,PL,BB_K,東田 正義,29,player-29,千葉ロッテマリーンズ,public\data\rankings\1973\PL\BB_K.json
1973,PL,BB_K_all,D.ビュフォード,32,player-32,埼玉西武ライオンズ,public\data\rankings\1973\PL\BB_K_all.json
1973,PL,BB_K__qualified,東田 正義,29,player-29,千葉ロッテマリーンズ,public\data\rankings\1973\PL\BB_K__qualified.json
1973,PL,GPA,基 満男,8,player-8,埼玉西武ライオンズ,public\data\rankings\1973\PL\GPA.json
1973,PL,GPA__qualified,基 満男,8,player-8,埼玉西武ライオンズ,public\data\rankings\1973\PL\GPA__qualified.json
1973,PL,IsoD,基 満男,8,player-8,千葉ロッテマリーンズ,public\data\rankings\1973\PL\IsoD.json
1973,PL,IsoD__qualified,基 満男,8,player-8,千葉ロッテマリーンズ,public\data\rankings\1973\PL\IsoD__qualified.json
1973,PL,OPS,基 満男,8,player-8,千葉ロッテマリーンズ,public\data\rankings\1973\PL\OPS.json
1973,PL,OPS__qualified,基 満男,8,player-8,千葉ロッテマリーンズ,public\data\rankings\1973\PL\OPS__qualified.json
1973,PL,TA,基 満男,8,player-8,千葉ロッテマリーンズ,public\data\rankings\1973\PL\TA.json
1973,PL,TA__qualified,基 満男,8,player-8,千葉ロッテマリーンズ,public\data\rankings\1973\PL\TA__qualified.json
1973,PL,二塁打,福富 邦夫,6,player-6,千葉ロッテマリーンズ,public\data\rankings\1973\PL\二塁打.json
1973,PL,二塁打_all,福富 邦夫,6,player-6,千葉ロッテマリーンズ,public\data\rankings\1973\PL\二塁打_all.json
1973,PL,単打,東田 正義,29,player-29,千葉ロッテマリーンズ,public\data\rankings\1973\PL\単打.json
1973,PL,単打_all,東田 正義,29,player-29,千葉ロッテマリーンズ,public\data\rankings\1973\PL\単打_all.json
1973,PL,四球,竹之内 雅史,36,player-36,千葉ロッテマリーンズ,public\data\rankings\1973\PL\四球.json
1973,PL,四球_all,竹之内 雅史,36,player-36,千葉ロッテマリーンズ,public\data\rankings\1973\PL\四球_all.json
1973,PL,塁打,東田 正義,29,player-29,埼玉西武ライオンズ,public\data\rankings\1973\PL\塁打.json
1973,PL,塁打_all,東田 正義,29,player-29,埼玉西武ライオンズ,public\data\rankings\1973\PL\塁打_all.json
1973,PL,試合,竹之内 雅史,36,player-36,埼玉西武ライオンズ,public\data\rankings\1973\PL\試合.json
1973,PL,試合_all,竹之内 雅史,36,player-36,埼玉西武ライオンズ,public\data\rankings\1973\PL\試合_all.json
